品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
水果,5317.8,5818.3,6434.6,7263.5,8097.89,8553.28,8649.57,8535.07,8667.35,8931.83,9200.44,9098,9436.7,9768.6,10035.2,10042.3,10471.1,10734.3,11139.5,11543.9
香蕉,132.9,182,196,150.8,126.65,175.5,180.2,177.94,202.66,249.26,244.98,247.9,255.5,264.5,276.3,285.7,306.6,317.8,338.8,357.3
柿子,,,,,,,,,,,,,,,,,,,,
苹果,1661.6,1914.5,2228.4,2690.22,1968.55,2986.93,2838.41,2621.57,2438.96,2254.01,2066.15,1938.3,1900.5,1876.7,1890.3,1898.8,1961.8,1992.2,2049.1,2139.9
荔枝,,,,,,,,,,,558.11,554.6,559.1,586.1,580.8,570.4,558.5,563.2,557.2,552.6
桃,,,,,,,,,,,452.25,547.1,607.2,662.9,677.1,669.5,697,695.1,703.3,719.4
菠萝,,,,,,,,,,,60.66,56.2,52.6,51,51.5,53.2,54.5,53.5,53.9,52.4
葡萄,113.9,139,141.9,148.92,101.73,153.49,158.23,177.96,223.24,283.04,334.37,392.4,421,413.5,408.1,418.7,438.4,451.2,493.4,552
梨,482.8,521.2,597.3,750.07,572.95,932.65,924.02,918.46,976.78,1014.74,1026.43,1042.4,1061.5,1078.7,1112.2,1087.4,1071.3,1074.5,1074.3,1063.1
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
柑橘类,1122.9,1087.3,1125.7,1123.94,809.5,1279.74,1309.17,1270.34,1282.87,1271.68,1323.67,1404.6,1505.7,1627.3,1717.3,1814.5,1941.4,2030.8,2160.3,2211
猕猴桃,,,,,,,,,,,47.99,50.2,52.3,52.6,55.3,59.1,71.9,74.9,89.51,106.8
