品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,12000,15000,13500,13500,,13500,10500
萝卜,8183,5939,6927,15775,,,,,,,,,46500,57000,51000,45000,,52500,43500
普通白菜,169711,121077,123047,157692,,,,,,,,,,,,,,106500,96000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,23471,18010,9399,9936,,,,,,,,,78000,70500,64500,75000,,67500,72000
辣椒,2145,2527,1270,6022,,,,,,,,,,,,,,,
菜豆,18266,16833,12810,15181,,,,,,,,,220500,252000,243000,243000,,,
豇豆,19070,17542,13827,7572,,,,,,,,,57000,69000,67500,60000,,57000,57000
甜椒,9847,6101,4086,,,,,,,,,,,,,,,,
莴苣,7966,5811,5733,5532,,,,,,,,,,,,,,,
大白菜,19980,1811,6421,8870,,,,,,,,,106500,82500,73500,75000,,84000,85500
大蒜,30000,,,,,,,,,,,,16500,16500,15000,15000,,12000,9000
胡萝卜,674,911,258,,,,,,,,,,6000,9000,9000,15000,,7500,7500
其他,43440,54835,58618,69762,,,,,,,,,159000,754500,129000,135000,,,138000
蕃茄,24088,18532,12664,12764,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,3422,2961,2627,,,,,,,,,,,,,,,
南瓜,1178,1060,621,1225,,,,,,,,,,,,,,,
蕹菜,,,,782,,,,,,,,,,,,,,,
马铃薯,24998,22307,21182,20116,,,,,,,,,,,,,,,
菠菜,16416,13541,11184,13231,,,,,,,,,70500,46500,45000,45000,,46500,42000
芹菜,8223,7195,6443,9533,,,,,,,,,91500,78000,70500,75000,,72000,72000
茄子,10344,11786,8046,8149,,,,,,,,,69000,,63000,60000,,63000,69000
蔬菜,1136000,1010000,910000,887000,1305000,1321500,1473000,1605000,1660500,2106000,2241000,2410500,2256000,2098500,1963500,2043000,2008500,2004000,1922250
冬瓜,,19632,14754,18593,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,42130,34018,28678,39444,,,,,,,,,133500,114000,102000,100500,,,
白菜,189691,122888,129468,166562,34500,31500,114000,30000,31500,37500,,,,,,,,,2203200
洋葱,100,,,,,,,,,,,,,,,,,,
芋,,788,242,301,,,,,,,,,,,,,,,
花椰菜,25751,13659,9339,11258,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,2610,1957,,,,,,,,,,,,,,,,
大葱,,,,,,,,,,,,,24000,18000,13500,15000,,15000,13500
姜,,,,,,,,,,,,,,,,,,,
芥菜,9519,,,,,,,,,,,,,,,,,,
丝瓜,,3601,2440,3132,,,,,,,,,,,,,,,
芦笋,2500,,,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,28500,,,,,
韭菜,2200,337,319,,,,,,,,,,,,,,,,
