品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,38000,46000,46000,46000,,39000,31000
萝卜,11422.9,7140,8004,18300,,,,,,,,,118000,149000,137000,140000,,131000,116000
普通白菜,257951.3,194500,211500,278547,,,,,,,,,,,,,,268000,249000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,27780.5,36020,18798,24840,,,,,,,,,190000,166000,160000,170000,,163000,179000
辣椒,2862.5,2780,1397,7226,,,,,,,,,,,,,,,
菜豆,7713.3,10099,7686,9154,,,,,,,,,292000,341000,317000,320000,,,
豇豆,11626.4,19296,16914,6862,,,,,,,,,89000,102000,99000,90000,,80000,82000
甜椒,5264,6711,4495,,,,,,,,,,,,,,,,
莴苣,14285.3,8717,8600,8339,,,,,,,,,,,,,,,
大白菜,36023.1,2535,8989,12470,,,,,,,,,373000,263000,248000,250000,,259000,268000
大蒜,9600,,,,,,,,,,,,31000,29000,23000,30000,,23000,16000
胡萝卜,1196.9,2733,774,,,,,,,,,,16000,25000,26000,30000,,20000,20000
其他,130777.4,300031,209318,230900,,,,,,,,,333000,,270000,300000,,,276000
蕃茄,33615.7,42624,29127,29357,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,5749,5034,4455,,,,,,,,,,,,,,,
南瓜,1331,1060,621,2450,,,,,,,,,,,,,,,
蕹菜,,,,1251.2,,,,,,,,,,,,,,,
马铃薯,14420.1,24538,23300,25145,,,,,,,,,,,,,,,
菠菜,16436.6,12187,10066,11967,,,,,,,,,83000,68000,65000,60000,,65000,60000
芹菜,21228.2,17987,15463,22917,,,,,,,,,157000,154000,136000,140000,,137000,144000
茄子,17099,30643,20919,21187,,,,,,,,,158000,,138000,150000,,140000,152000
蔬菜,1606000,1600000,1480000,1600000,2443344,2620000,3006000,3016000,3369000,3770000,4240350,4766000,4605000,4400000,4090274,4187644,4134871,4099935,3940755
冬瓜,,39624,29508,46482,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,65415.8,57830,43017,15482,,,,,,,,,336000,294000,269000,268000,,,
白菜,293974.4,197035,220489,291017,46540,60000,284000,81000,96000,108000,,,,,,,,,3940755
洋葱,200,,,,,,,,,,,,,,,,,,
芋,,710,218,280,,,,,,,,,,,,,,,
花椰菜,22517.9,9561,6537,7884,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,2871,2348,,,,,,,,,,,,,,,,
大葱,,,,,,,,,,,,,17000,29000,22000,30000,,36000,31000
姜,,,,,,,,,,,,,,,,,,,
芥菜,20869.2,,,,,,,,,,,,,,,,,,
丝瓜,,7202,4880,6295,,,,,,,,,,,,,,,
芦笋,500,,,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,36131,,,,,
韭菜,2200.7,1685,1595,,,,,,,,,,,,,,,,
