品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,40000,42000,16800,,,,,,,,,82500,93000,90000,93000,,100500,105000
萝卜,230000,235000,220000,244500,,,,,,,,,628500,651000,688500,705000,,748500,754500
普通白菜,237000,225000,230000,308800,,,,,,,,,,,,,,604500,660000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,49000,55000,58000,72500,,,,,,,,,145500,151500,159000,180000,,193500,213000
辣椒,150000,152000,160000,194800,,,,,,,,,270000,270000,,,,,
菜豆,72000,85000,85000,159300,,,,,,,,,586500,615000,661500,736500,,,
豇豆,25000,25000,25000,47400,,,,,,,,,75000,64500,70500,75000,,76500,79500
甜椒,45000,50000,55000,15000,,,,,,,,,,,,,,,
莴苣,99500,99500,95000,99700,,,,,,,,,,,,,,,
大白菜,197000,201000,215000,403500,,,,,,,,,1521000,1644000,1665000,1725000,,1857000,2077500
大蒜,67800,80000,82000,95000,,,,,,,,,315000,316500,330000,345000,,409500,351000
胡萝卜,62000,81000,100000,39500,,,,,,,,,52500,55500,55500,45000,,58500,60000
其他,139000,51256,199925,9400,,,,,,,,,534000,5391000,477000,495000,,,544500
蕃茄,121000,131000,150000,107200,,,,,,,,,,,,,,,
苦瓜,,10000,12000,11100,,,,,,,,,,,,,,,
茭白,,40000,40000,40000,,,,,,,,,,,,,,,
南瓜,173000,173000,164000,172000,,,,,,,,,,,,,,,
蕹菜,,5000,5000,9100,,,,,,,,,,,,,,,
马铃薯,284000,3020000,,3391455,,,,,,,,,,6667500,,,,,
菠菜,22100,22100,21000,31600,,,,,,,,,121500,138000,127500,135000,,142500,157500
芹菜,31000,31000,32000,26500,,,,,,,,,135000,151500,156000,165000,,162000,177000
茄子,137000,139000,140000,140000,,,,,,,,,169500,,187500,195000,,205500,235500
蔬菜,2391000,2652000,2846000,3004000,3159000,3259500,3393000,3709500,4372500,5295000,5857500,6040500,6565500,6898500,7380000,7945000,8430000,8751000,9342900
冬瓜,,30000,30000,29300,,,,,,,,,,,,,,,
藠头,,15000,18000,14300,,,,,,,,,,,,,,,
甘蓝,142100,150000,150000,165600,,,,,,,,,444000,483000,517500,538500,,,
白菜,434000,426000,445000,712300,600000,583500,1005000,1050000,1185000,1065000,,,,,,,,,9609300
洋葱,80000,82000,75000,65000,,,,,,,,,,,,,,,
芋,,30000,27000,57500,,,,,,,,,,,,,,,
花椰菜,75000,75000,80000,74300,,,,,,,,,,,,,,,
金针菜,,40000,,,,,,,,,,,,,,,,,
苋菜,,1000,1000,11200,,,,,,,,,,,,,,,
大葱,27000,31000,35000,66300,,,,,,,,,132000,159000,165000,165000,,171000,181500
姜,,80000,80000,46300,,,,,,,,,,,,,,,
芥菜,156000,164000,152000,150000,,,,,,,,,,,,,,,
丝瓜,,5000,6000,5000,,,,,,,,,,,,,,,
芦笋,500,500,800,1900,,,,,,,,,,,,,,,
草莓,,500,,,,,,,,,,,,4500,,,,,
韭菜,53000,58000,60000,23500,,,,,,,,,,,,,,,
