品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,48000,50400,21168,,,,,,,,,119000,138000,137000,143000,,161000,177000
萝卜,575000,611000,572000,647900,,,,,,,,,970000,996000,1142000,1150000,,1212000,1241000
普通白菜,379200,360000,379500,509520,,,,,,,,,,,,,,825000,886000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,88200,104500,110200,137750,,,,,,,,,160000,161000,161000,190000,,210000,241000
辣椒,180000,152000,160000,194800,,,,,,,,,188000,188000,,,,,
菜豆,100800,123250,123250,230985,,,,,,,,,413000,433000,473000,548000,,,
豇豆,30000,30000,30000,56880,,,,,,,,,58000,45000,54000,50000,,56000,55000
甜椒,36000,42500,46750,12750,,,,,,,,,,,,,,,
莴苣,199000,199000,190000,149550,,,,,,,,,,,,,,,
大白菜,748600,773850,827750,1250850,,,,,,,,,2224000,2374000,2349000,2400000,,2672000,2914000
大蒜,81360,90000,91840,104500,,,,,,,,,304000,319000,336000,390000,,436000,374000
胡萝卜,93000,129600,160000,63200,,,,,,,,,66000,80000,74000,50000,,71000,71000
其他,166800,51256,199925,11206,,,,,,,,,720000,,614000,640000,,,643000
蕃茄,169400,196500,225000,160800,,,,,,,,,,,,,,,
苦瓜,,10000,12000,11100,,,,,,,,,,,,,,,
茭白,,48000,48000,48000,,,,,,,,,,,,,,,
南瓜,311400,311400,295200,309600,,,,,,,,,,,,,,,
蕹菜,,15000,15000,27300,,,,,,,,,,,,,,,
马铃薯,257000,2640000,,3064260,,,,,,,,,,1548000,,,,,
菠菜,33150,33150,31500,47400,,,,,,,,,117000,122000,121000,130000,,151000,167000
芹菜,40300,44000,45440,37630,,,,,,,,,201000,237000,232000,240000,,223000,271000
茄子,246600,264100,266000,266000,,,,,,,,,170000,,198000,190000,,222000,253000
蔬菜,4717000,5250000,5488000,5759000,4055973,4255000,5000000,5140000,5500000,5850000,6532023,7985689,8391000,8851000,9708882,10337820,11133350,11666050,12382440
冬瓜,,60000,90000,87900,,,,,,,,,,,,,,,
藠头,,15000,18000,14300,,,,,,,,,,,,,,,
甘蓝,426300,450000,450000,364320,,,,,,,,,568000,619000,651000,713000,,,
白菜,1127800,1133850,1207250,1760370,971010,933000,1696000,1600000,1400000,1250000,,,,,,,,,12382440
洋葱,176000,180400,165000,143000,,,,,,,,,,,,,,,
芋,,90000,81000,172500,,,,,,,,,,,,,,,
花椰菜,150000,157500,168000,156030,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,800,800,8960,,,,,,,,,,,,,,,
大葱,32400,38750,43750,82875,,,,,,,,,157000,192000,223000,220000,,216000,228000
姜,,120000,120000,69450,,,,,,,,,,,,,,,
芥菜,390000,426400,395200,330000,,,,,,,,,,,,,,,
丝瓜,,4000,4800,4000,,,,,,,,,,,,,,,
芦笋,50,60,96,1800,,,,,,,,,,,,,,,
草莓,,60,,,,,,,,,,,,3941,,,,,
韭菜,63600,69600,72000,28200,,,,,,,,,,,,,,,
