品种,1991,1992,1993,1994,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,133670,360578,409777,,,,,,,,4054500,3697500,3702000,3822000,,3738000,3793500
萝卜,4893043,3929409,3785010,5382040,,,,,,,,18283500,17563500,17719500,18300000,,18006000,18019500
普通白菜,3749590,3387275,3777384,4456232,,,,,,,,,,,,,13489500,13204500
竹笋,,621862,712810,544676,,,,,,,,,,,,,,
辣椒,3581162,3911966,4499883,4827978,,,,,,,,5488500,6858000,,,,,
黄瓜,2912716,4818389,3258209,3991759,,,,,,,,14040000,13951500,14448000,14775000,,15085500,15520500
菜豆,1833985,1788138,2187011,2388869,,,,,,,,18727500,18564000,18751500,19174500,,,
甜椒,1305865,2358387,1351654,1341697,,,,,,,,,,,,,,
豇豆,1663241,1343832,1639264,1741923,,,,,,,,5134500,5176500,5430000,5580000,,5824500,5757000
莴苣,1671053,1503028,1755171,1814930,,,,,,,,,,,,,,
大白菜,9089256,7962467,8036361,8569829,,,,,,,,40489500,39334500,39139500,39360000,,37993500,38181000
大蒜,4431135,3603656,3978599,4217917,,,,,,,,11920500,11511000,11610000,12555000,,12226500,11592000
胡萝卜,1645758,1189476,1918322,1506471,,,,,,,,6133500,5989500,6036000,6510000,,6466500,6498000
其他,8507512,7669340,9810758,9999740,,,,,,,,17605500,114972000,15492000,15900000,,16384500,17355000
蕃茄,3251863,2900632,3525746,3797997,,,,,,,,,,,,,,
苦瓜,,104326.8,292921,326440.5,,,,,,,,,,,,,,
茭白,,200298,132235,138597,,,,,,,,,,,,,,
南瓜,810043.9,669286.5,1014614,846010.5,,,,,,,,,,,,,,
蕹菜,,456570,544658,640538,,,,,,,,,,,,,,
马铃薯,8615928,8315163,6767664,9294862,,,,,,,,,68950500,,,,,
菠菜,1945280,1395492,1616854,1582786,,,,,,,,9627000,9306000,9465000,9465000,,9310500,9505500
芹菜,1877650,1620773,1929566,1981696,,,,,,,,8140500,8154000,8319000,8610000,,8343000,8433000
茄子,2611247,2368396,2775701,3190398,,,,,,,,10584000,,10539000,10545000,,10509000,11058000
蔬菜,103740000,85681000,99153000,105070000,155541000,169170000,184365000,200193000,228532500,245085000,260299500,269305500,263409000,265810500,273253500,259929000,268143000,276214500
藠头,,22650,26502,19500,,,,,,,,,,,,,,
冬瓜,,575464,621823,928413.5,,,,,,,,,,,,,,
甘蓝,3621942,3873662,3063805,3803793,,,,,,,,13249500,13165500,13474500,14059500,,,
白菜,12838850,3466897,11813750,13026060,20910000,24564000,27451500,30309000,30351000,,,,,,,,,311229400
洋葱,920916.8,676637.3,593040,1373994,,,,,,,,,,,,,,
芋,,533971,810798,989544,,,,,,,,,,,,,,
花椰菜,1416802,1005338,1049066,1193997,,,,,,,,,,,,,,
金针菜,,155171,39555,13552,,,,,,,,,,,,,,
苋菜,,24415.5,28852,55832,,,,,,,,,,,,,,
大葱,2362260,1718987,2033519,2139133,,,,,,,,7875000,8013000,8212500,8250000,,7864500,8185500
姜,,289550,603173,593673,,,,,,,,,,,,,,
芥菜,1445822,1589504,1650276,1695135,,,,,,,,,,,,,,
丝瓜,,119121.5,198876,189703.3,,,,,,,,,,,,,,
芦笋,370704,320879.1,378900,408701,,,,,,,,,,,,,,
草莓,,62703.4,191129,230953,,,,,,,,,1243500,,,,,
韭菜,1579125,2740929,1581243,1865801,,,,,,,,,,,,,,
