品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,,,,,,,
萝卜,51912,,,,,,,,,,,,102000,93000,135000,135000,,181500,97500
普通白菜,38210,,,,,,,,,,,,,,,,,273000,283500
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,41082,,,,,,,,,,,,126000,121500,151500,135000,,202500,225000
辣椒,21997,,,,,,,,,,,,220500,,,,,,
菜豆,34648,,,,,,,,,,,,132000,159000,193500,195000,,,
豇豆,1733,,,,,,,,,,,,7500,16500,10500,15000,,12000,45000
甜椒,23397,,,,,,,,,,,,,,,,,,
莴苣,2335,,,,,,,,,,,,,,,,,,
大白菜,257685,,,,,,,,,,,,579000,601500,492000,600000,,489000,510000
大蒜,19660,,,,,,,,,,,,48000,48000,76500,45000,,64500,64500
胡萝卜,50474,,,,,,,,,,,,220500,271500,255000,315000,,310500,370500
其他,31855,,,,,,,,,,,,72000,11146500,60000,120000,,,205500
蕃茄,34603,,,,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,18776,,,,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,1050826,,,,,,,,,,,,,7818000,,,,,
菠菜,23904,,,,,,,,,,,,36000,40500,43500,45000,,54000,60000
芹菜,39368,,,,,,,,,,,,102000,115500,156000,150000,,172500,174000
茄子,43270,,,,,,,,,,,,118500,,129000,120000,,130500,145500
蔬菜,1978000,1160000,1230000,1073000,1245000,1321500,1776000,1717500,2460000,3141000,2734500,3115500,2881500,3055500,3322500,3775500,3273000,3904500,4030650
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,70584,,,,,,,,,,,,198000,232500,243000,274500,,,
白菜,295895,,,,465000,492000,618000,420000,,420000,,,,,,,,,4820550
洋葱,6374,,,,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,2212,,,,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,63886,,,,,,,,,,,,202500,202500,201000,210000,,202500,219000
姜,,,,,,,,,,,,,,,,,,,
芥菜,30853,,,,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,100,,,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,19500,,,,,
韭菜,17837,,,,,,,,,,,,,,,,,,
