品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,,,,,,,
萝卜,104390,,,,,,,,,,,,214000,255000,331000,410000,,594000,311000
普通白菜,113724,,,,,,,,,,,,,,,,,1056000,951000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,139451,,,,,,,,,,,,405000,393000,564000,530000,,823000,986000
辣椒,26877,,,,,,,,,,,,856000,,,,,,
菜豆,44566,,,,,,,,,,,,262000,316000,394000,397000,,,
豇豆,1543,,,,,,,,,,,,9000,28000,16000,10000,,25000,29000
甜椒,49411,,,,,,,,,,,,,,,,,,
莴苣,6221,,,,,,,,,,,,,,,,,,
大白菜,1070694,,,,,,,,,,,,2371000,2279000,1857000,2360000,,2385000,2340000
大蒜,17828,,,,,,,,,,,,86000,81000,158000,90000,,151000,120000
胡萝卜,109881,,,,,,,,,,,,673000,732000,706000,780000,,860000,955000
其他,72621,,,,,,,,,,,,187000,,145000,180000,,,561000
蕃茄,113229,,,,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,42928,,,,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,877098,,,,,,,,,,,,,1864000,,,,,
菠菜,36925,,,,,,,,,,,,64000,75000,82000,110000,,119000,137000
芹菜,68358,,,,,,,,,,,,335000,409000,504000,660000,,716000,752000
茄子,101654,,,,,,,,,,,,343000,,336000,310000,,395000,471000
蔬菜,3339000,2710000,3276000,2679000,3080000,3654000,4204000,4334000,5948000,7600000,7686576,7552603,8468000,8755000,10091380,11744360,12774660,13608400,13806140
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,143318,,,,,,,,,,,,636000,693000,767000,876000,,,
白菜,1184418,,,,1650000,1820000,2275000,2380000,,2700000,,,,,,,,,13806140
洋葱,8510,,,,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,3792,,,,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,115020,,,,,,,,,,,,545000,495000,528000,600000,,611000,630000
姜,,,,,,,,,,,,,,,,,,,
芥菜,39463,,,,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,25,,,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,10235,,,,,
韭菜,30993,,,,,,,,,,,,,,,,,,
