品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,16500,13500,19500,27000,,28500,27000
萝卜,60331,70339,71383,70326,,,,,,,,,75000,90000,64500,45000,,37500,40500
普通白菜,19022,17519,27580,37695,,,,,,,,,,,,,,46500,45000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,88259,,50920,82864,,,,,,,,,115500,99000,99000,90000,,75000,79500
辣椒,,,,,,,,,,,,,,,,,,,
菜豆,19636,52593,46669,46827,,,,,,,,,135000,111000,111000,96000,,,
豇豆,20000,,,,,,,,,,,,48000,37500,43500,45000,,28500,25500
甜椒,24654,27727,26249,28620,,,,,,,,,,,,,,,
莴苣,10000,,,,,,,,,,,,,,,,,,
大白菜,190269,240707,203619,190071,,,,,,,,,256500,264000,237000,210000,,169500,165000
大蒜,7118,8710,8998,7242,,,,,,,,,12000,9000,9000,15000,,6000,6000
胡萝卜,9000,,,,,,,,,,,,31500,,25500,30000,,24000,22500
其他,334076,299522,481346,456348,,,,,,,,,28500,469500,64500,60000,,61500,49500
蕃茄,61887,47923,,52412,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,,,,,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,5500,,,,,,,,,,,,,,,,,,
菠菜,26232,26196,26735,28534,,,,,,,,,57000,51000,54000,45000,,46500,49500
芹菜,13292,15833,18137,20644,,,,,,,,,63000,60000,55500,60000,,54000,61500
茄子,53097,57569,57286,59578,,,,,,,,,84000,,64500,60000,,54000,51000
蔬菜,1100000,1125000,1173000,1369000,1363500,1314000,1332000,1353000,1402500,1617000,1798500,1831500,1744500,1497000,1329000,1224000,1051500,1023000,1027350
冬瓜,,20451,,20188,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,63578,72289,59968,73553,,,,,,,,,111000,67500,61500,61500,,,
白菜,209291,258226,231199,227766,178500,201000,205500,225000,234000,225000,,,,,,,,,1141050
洋葱,,,,,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,26738,28391,33744,33137,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,7816,9313,11135,11274,,,,,,,,,48000,46500,52500,45000,,25500,28500
姜,,,,,,,,,,,,,,,,,,,
芥菜,,,,,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,,,,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,1500,,,,,
韭菜,5383,,,,,,,,,,,,,,,,,,
