品种,1991,1992,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,,,,,
萝卜,34478.9,,,,,,,,,,240000,165000,177000,195000,,220500,267000
普通白菜,9261.1,,,,,,,,,,,,,,,94500,111000
竹笋,,,,,,,,,,,,,,,,,
黄瓜,62035.3,,,,,,,,,,330000,265500,291000,315000,,319500,333000
辣椒,19113.3,,,,,,,,,,,,,,,,
菜豆,47792.5,,,,,,,,,,253500,181500,217500,201000,,,
豇豆,11345.1,,,,,,,,,,16500,19500,18000,15000,,15000,18000
甜椒,15376.9,,,,,,,,,,,,,,,,
莴苣,176,,,,,,,,,,,,,,,,
大白菜,151427.9,,,,,,,,,,1483500,1134000,1002000,1065000,,931500,1048500
大蒜,6772.5,,,,,,,,,,109500,66000,127500,90000,,75000,78000
胡萝卜,6669.6,,,,,,,,,,90000,63000,66000,60000,,61500,61500
其他,137641.7,,,,,,,,,,132000,529500,133500,90000,,,72000
蕃茄,35571.9,,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,
南瓜,4993,,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,
马铃薯,96560.7,,,,,,,,,,,1203000,,,,,
菠菜,26808.5,,,,,,,,,,90000,76500,73500,90000,,93000,97500
芹菜,13625.3,,,,,,,,,,87000,66000,75000,75000,,82500,87000
茄子,53266.5,,,,,,,,,,210000,,183000,180000,,205500,208500
蔬菜,3000000,3300000,2931000,2982000,3457500,3549000,3915000,3972000,3897000,4366500,4036500,3534000,3144000,3229500,3234000,3142500,3477750
冬瓜,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,
甘蓝,45168.2,,,,,,,,,,145500,183000,99000,111000,,,
白菜,160689,,,645000,747000,766500,781500,,,,,,,,,,4276500
洋葱,1188,,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,
花椰菜,1804.4,,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,
大葱,42132.7,,,,,,,,,,249000,163500,198000,210000,,222000,246000
姜,,,,,,,,,,,,,,,,,
芥菜,3512.3,,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,
芦笋,,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,18000,,,,,
韭菜,14270.7,,,,,,,,,,,,,,,,
