品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,321000,309000,322500,391500,,373500,387000
萝卜,1180600,1289000,1365000,1394000,,,,,,,,,1530000,1387500,1407000,1755000,,1543500,1579500
普通白菜,,,,,,,,,,,,,,,,,,846000,868500
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,241000,2573000,286000,306000,,,,,,,,,645000,664500,700500,840000,,774000,799500
辣椒,749000,776000,892000,928000,,,,,,,,,1144500,1120500,,,,,
菜豆,186000,204000,223000,244000,,,,,,,,,1258500,1231500,1248000,1467000,,,
豇豆,304000,326000,373000,374000,,,,,,,,,453000,444000,453000,540000,,523500,544500
甜椒,,,,,,,,,,,,,,,,,,,
莴苣,748000,801000,916000,936000,,,,,,,,,,,,,,,
大白菜,1037000,1082000,1191000,1292000,,,,,,,,,1338000,1333500,1384500,1620000,,1498500,1522500
大蒜,220200,233000,531000,448000,,,,,,,,,493500,436500,423000,525000,,504000,502500
胡萝卜,297000,286000,315000,359000,,,,,,,,,399000,405000,415500,525000,,484500,496500
其他,2066000,1219000,1353000,1741000,,,,,,,,,850500,8209500,769500,915000,,,930000
蕃茄,357000,371000,408000,441000,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,,,226000,,,,,,,,,,,,,,,,
蕹菜,,255000,283000,287000,,,,,,,,,,,,,,,
马铃薯,,,,,,,,,,,,,,5572500,,,,,
菠菜,,,,,,,,,,,,,364500,358500,360000,420000,,394500,402000
芹菜,252000,259000,273000,296000,,,,,,,,,495000,496500,483000,555000,,495000,513000
茄子,435000,422000,462000,483000,,,,,,,,,681000,,682500,780000,,730500,763500
蔬菜,10037000,10455000,11477000,11930000,12499500,9189000,9418500,10251000,10761000,12870000,13996500,14806500,15093000,14559000,14872500,17728500,15682500,16531500,16943400
冬瓜,,203000,,264000,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,1058000,1040100,117000,1133000,,,,,,,,,769500,765000,777000,943500,,,
白菜,1037000,1082000,1191000,1292000,1413000,991500,1021500,1095000,1170000,1215000,,,,,,,,,17671500
洋葱,76000,101000,,102000,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,222000,233000,117000,271000,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,,,,,,,,,,,,,286500,306000,285000,330000,,330000,340500
姜,,,,,,,,,,,,,,,,,,,
芥菜,492000,745000,767000,523000,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,70000,,85800,84000,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,58500,,,,,
韭菜,105000,115000,111000,116000,,,,,,,,,,,,,,,
