品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,552000,543000,585000,635000,,642000,654000
萝卜,3126000,3139000,3434000,3349922,,,,,,,,,2939000,2713000,2739000,3050000,,3039000,3186000
普通白菜,,,,,,,,,,,,,,,,,,1718000,1807000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,500500,489000,613000,628401.6,,,,,,,,,1152000,1192000,1244000,1370000,,1417000,1497000
辣椒,759000,754000,1010000,988412.8,,,,,,,,,1406000,1396000,,,,,
菜豆,216000,219000,276000,280600,,,,,,,,,1793000,1819000,1897000,2100000,,,
豇豆,440800,452000,517000,498504.6,,,,,,,,,644000,653000,684000,760000,,784000,844000
甜椒,,,,,,,,,,,,,,,,,,,
莴苣,1421000,1429000,2570200,1724486,,,,,,,,,,,,,,,
大白菜,2753000,2686000,3012000,2826250,,,,,,,,,2627000,2614000,2697000,3060000,,3079000,3223000
大蒜,172000,167000,533000,431020.8,,,,,,,,,468000,424000,436000,510000,,508000,540000
胡萝卜,484000,471000,542000,639199.5,,,,,,,,,681000,732000,754000,820000,,852000,897000
其他,4322700,2460200,3159000,3113741,,,,,,,,,1419000,,1526000,1610000,,,1391000
蕃茄,703000,663000,795000,740924.1,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,,,682000,,,,,,,,,,,,,,,,
蕹菜,,678000,875000,797974.8,,,,,,,,,,,,,,,
马铃薯,,,,,,,,,,,,,,1351000,,,,,
菠菜,,,,,,,,,,,,,518000,525000,531000,580000,,596000,611000
芹菜,564000,578000,605000,559558.4,,,,,,,,,872000,889000,857000,960000,,882000,933000
茄子,700400,646000,760000,776229.3,,,,,,,,,1149000,,1180000,1260000,,1296000,1378000
蔬菜,20625000,20186000,23792000,22601000,13895620,17487000,18507000,18884000,19421000,23120000,23517540,25657070,26396000,26239000,27142920,29712290,27052780,30782910,32273480
冬瓜,,599000,,756835.2,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,2730000,2468000,2793000,2514467,,,,,,,,,1553000,1539000,1581000,1726000,,,
白菜,2753000,2686000,3012000,2826250,3152105,2421000,2447000,2780000,2920000,2700000,,,,,,,,,32273480
洋葱,113000,150400,,142871.4,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,333000,352000,2793000,391622.1,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,,,,,,,,,,,,,475000,519000,412000,440000,,505000,535000
姜,,,,,,,,,,,,,,,,,,,
芥菜,1107000,1471500,1798000,1258756,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,49000,,22300,61000.8,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,69138,,,,,
韭菜,165000,167000,169000,184730,,,,,,,,,,,,,,,
