品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,2100,2100,8747,,,,,,,,,3000,3000,3000,,,4500,3000
萝卜,16611,20173,35403,44385.5,,,,,,,,,55500,60000,55500,45000,,28500,21000
普通白菜,,24990,5292,51959.1,,,,,,,,,,,,,,43500,49500
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,54382,61662,81500,101787.2,,,,,,,,,214500,186450,214500,195000,,153000,174000
辣椒,,15142,21855,7865,,,,,,,,,,,,,,,
菜豆,41489,58414,73888,87754.5,,,,,,,,,141000,132000,154500,159000,,,
豇豆,,,,,,,,,,,,,15000,12000,9000,15000,,7500,10500
甜椒,10827,,,29700,,,,,,,,,,,,,,,
莴苣,4336,4252,4375,4687.5,,,,,,,,,,,,,,,
大白菜,82409,76713,156965,176207,,,,,,,,,235500,246000,253500,240000,,130500,147000
大蒜,6229,7694,4815,37660.5,,,,,,,,,24000,16500,24000,15000,,10500,9000
胡萝卜,2807,4241,10921,19898,,,,,,,,,16500,12000,10500,15000,,6000,6000
其他,67558,73304,124962,98438.2,,,,,,,,,145500,105000,87000,105000,,34500,73500
蕃茄,30136,38776,44354,63256.4,,,,,,,,,,,,,,,
苦瓜,,40,40,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,634,527,213,16934.5,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,14707,17648,34201,31291,,,,,,,,,,,,,,,
菠菜,18190,23560,41971,66089,,,,,,,,,75000,81000,75000,75000,,76500,84000
芹菜,24204,29277,46485,43311.5,,,,,,,,,117000,123000,118500,120000,,100500,93000
茄子,15483,29992,36092,50326,,,,,,,,,70500,,61500,45000,,39000,42000
蔬菜,800000,598000,977000,1181000,1215000,1309500,1425000,1417500,1477500,1924500,1942500,1926000,2019000,1978500,1945500,1806000,951000,1083000,1212150
冬瓜,,10130,16361,18298.5,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,43273,46605,53655,56846.9,,,,,,,,,90000,78000,73500,66000,,,
白菜,82409,101703,162257,228166.1,,235500,223500,210000,237000,,,,,,,,,,1319700
洋葱,1193,738,5555,13774.5,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,17261,18012,26104,32599.8,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,180,160,,,,,,,,,,,,,,,,
大葱,21228,32416,73009,87216.4,,,,,,,,,183000,175500,165000,150000,,54000,57000
姜,,,,,,,,,,,,,,,,,,,
芥菜,1428,1755,5674,3362,,,,,,,,,,,,,,,
丝瓜,,120,140,,,,,,,,,,,,,,,,
芦笋,403,208,212,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,,,,,,
韭菜,23127,21674,27385,28288.7,,,,,,,,,,,,,,,
