品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,2600,2700,13575,,,,,,,,,4000,4000,4000,1000,,5000,2000
萝卜,30080,36662,64340,91336.1,,,,,,,,,168000,172000,157000,110000,,59000,59000
普通白菜,,55280,5894,75258.5,,,,,,,,,,,,,,128000,142000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,172805,2000287,204953,343338.5,,,,,,,,,827000,643000,653000,600000,,555000,647000
辣椒,,36462,48675,5776.6,,,,,,,,,,,,,,,
菜豆,73305,84789,101474,146913.7,,,,,,,,,373000,291000,316000,301000,,,
豇豆,,,,,,,,,,,,,32000,19000,15000,10000,,17000,37000
甜椒,30005,,,73308.8,,,,,,,,,,,,,,,
莴苣,8885,9656,11031,11840.4,,,,,,,,,,,,,,,
大白菜,307935,303000,469516,698505.6,,,,,,,,,1114000,1067000,944000,870000,,509000,599000
大蒜,2305,4657,4584,27328.8,,,,,,,,,36000,24000,85000,70000,,13000,12000
胡萝卜,5065,7706,19844,50955.1,,,,,,,,,29000,33000,42000,20000,,19000,20000
其他,178325,131609,164224,106787.2,,,,,,,,,282000,,153000,220000,,70000,181000
蕃茄,119000,164384,156710,254269.1,,,,,,,,,,,,,,,
苦瓜,,14,13,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,2220,1720,612,44159.7,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,19490,31558,34500,58057.7,,,,,,,,,,,,,,,
菠菜,31460,32915,42216,94036.6,,,,,,,,,153000,147000,142000,100000,,223000,249000
芹菜,95195,118164,141068,179655.5,,,,,,,,,425000,499000,424000,390000,,361000,405000
茄子,67760,78569,84234,134657.1,,,,,,,,,238000,,176000,140000,,114000,135000
蔬菜,2300000,1627000,1917000,2885000,4341700,4527000,4862000,5324000,4860000,5306000,5645037,5843102,6028000,5854000,5427421,4714475,2743743,3141572,3738504
冬瓜,,43862,45794,56789,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,110860,139780,149518,169087.6,,,,,,,,,246000,215000,207000,156000,,,
白菜,307935,358280,475410,773764.1,,1188000,1150000,1200000,1168000,,,,,,,,,,3738504
洋葱,3260,2004,12090,48266.5,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,25420,28139,28544,53419.7,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,290,270,,,,,,,,,,,,,,,,
大葱,54045,59188,62460,72609.2,,,,,,,,,700000,754000,670000,480000,,172000,181000
姜,,,,,,,,,,,,,,,,,,,
芥菜,2850,3793,11579,7543.5,,,,,,,,,,,,,,,
丝瓜,,130,140,,,,,,,,,,,,,,,,
芦笋,282.1,170,180,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,,,,,,
韭菜,47355,49985,48390,67924.5,,,,,,,,,,,,,,,
