品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,,,,,,3000,
萝卜,,7100,7100,7100,,,,,,,,,54000,30000,43500,45000,,55500,76500
普通白菜,,7100,5200,5200,,,,,,,,,,,,,,24000,30000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,,18900,18900,19800,,,,,,,,,42000,37500,40500,30000,,55500,67500
辣椒,,38300,41380,42860,,,,,,,,,,,,,,,
菜豆,,4100,4100,4330,,,,,,,,,36000,22500,25500,40500,,,
豇豆,,2310,2710,2890,,,,,,,,,10500,3000,4500,,,4500,12000
甜椒,,10300,13920,15930,,,,,,,,,,,,,,,
莴苣,,4600,4700,5100,,,,,,,,,,,,,,,
大白菜,,98800,68310,66800,,,,,,,,,112500,120000,91500,105000,,121500,136500
大蒜,,10100,15100,21000,,,,,,,,,19500,10500,9000,,,12000,10500
胡萝卜,,5800,6200,6380,,,,,,,,,28500,25500,19500,15000,,21000,31500
其他,,45130,3220,3885,,,,,,,,,10500,2466000,16500,30000,,,30000
蕃茄,,18200,24200,32980,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,,2500,1500,1700,,,,,,,,,,,,,,,
蕹菜,,150,250,310,,,,,,,,,,,,,,,
马铃薯,,636700,675800,702400,,,,,,,,,,1554000,,,,,
菠菜,,6100,6100,6835,,,,,,,,,22500,13500,31500,15000,,12000,21000
芹菜,,23400,24000,25020,,,,,,,,,31500,34500,33000,30000,,51000,57000
茄子,,18600,20000,21150,,,,,,,,,42000,,42000,45000,,54000,67500
蔬菜,306000,,1009000,1068000,495000,480000,483000,505500,507000,738000,712500,768000,835500,703500,769500,921000,1032000,1203000,1396650
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,,45100,46910,49910,,,,,,,,,75000,21000,24000,37500,,,
白菜,,105900,73510,72000,72000,72000,63000,60000,60000,60000,,,,,,,,,2581200
洋葱,,7830,560,590,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,,1800,1950,2000,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,130,190,230,,,,,,,,,,,,,,,
大葱,,3300,4000,4390,,,,,,,,,90000,52500,52500,75000,,54000,78000
姜,,,,,,,,,,,,,,,,,,,
芥菜,,800,800,840,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,,2250,6100,12200,,,,,,,,,,,,,,,
草莓,,600,600,800,,,,,,,,,,,,,,,
韭菜,,5300,5300,5670,,,,,,,,,,,,,,,
