品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,,,,,,,2000
萝卜,,28400,28400,28400,,,,,,,,,121000,68000,103000,110000,,125000,153000
普通白菜,,35500,26000,26000,,,,,,,,,,,,,,88000,94000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,,94500,94500,99000,,,,,,,,,95000,92000,101000,90000,,155000,204000
辣椒,,95750,103450,107150,,,,,,,,,,,,,,,
菜豆,,12300,12300,12990,,,,,,,,,61000,42000,42000,69000,,,
豇豆,,6930,8130,8670,,,,,,,,,13000,3000,5000,,,8000,21000
甜椒,,30900,41760,47790,,,,,,,,,,,,,,,
莴苣,,23000,23500,25500,,,,,,,,,,,,,,,
大白菜,,494000,341550,334000,,,,,,,,,321000,323000,278000,300000,,353000,431000
大蒜,,11110,16610,23100,,,,,,,,,33000,14000,15000,10000,,27000,21000
胡萝卜,,17400,18600,19140,,,,,,,,,58000,50000,46000,30000,,48000,84000
其他,,135390,9660,11655,,,,,,,,,16000,,44000,40000,,,86000
蕃茄,,91000,121000,164900,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,,12500,7500,8500,,,,,,,,,,,,,,,
蕹菜,,450,750,930,,,,,,,,,,,,,,,
马铃薯,,3183500,3379000,3512000,,,,,,,,,,264000,,,,,
菠菜,,15250,15250,17087.5,,,,,,,,,36000,23000,50000,20000,,19000,40000
芹菜,,117000,12000,125100,,,,,,,,,78000,96000,79000,80000,,170000,192000
茄子,,93000,100000,105750,,,,,,,,,99000,,104000,110000,,132000,173000
蔬菜,650000,,4663000,4858000,876013,905000,973000,1020000,1138000,1500000,1511191,1588943,1737000,1664000,1836076,2200516,2547786,3189536,3539838
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,,225500,234550,249550,,,,,,,,,132000,39000,70000,103000,,,
白菜,,529500,367550,360000,225000,232000,217000,195000,192000,216000,,,,,,,,,3539838
洋葱,,31320,2240,2360,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,,10800,9750,10000,,,,,,,,,,,,,,,
金针菜,,,,12,,,,,,,,,,,,,,,
苋菜,,390,480,690,,,,,,,,,,,,,,,
大葱,,16500,20000,21950,,,,,,,,,79000,69000,94000,80000,,100000,151000
姜,,,,,,,,,,,,,,,,,,,
芥菜,,2400,2400,2520,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,,2250,6100,12200,,,,,,,,,,,,,,,
草莓,,1200,1200,1600,,,,,,,,,,,,,,,
韭菜,,26500,26500,28360,,,,,,,,,,,,,,,
