品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,156000,151500,154500,162000,,198000,190500
萝卜,300000,260000,265000,344000,,,,,,,,,853500,795000,765000,825000,,859500,831000
普通白菜,100000,118000,132000,260000,,,,,,,,,,,,,,544500,546000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,25000,44000,49300,215000,,,,,,,,,523500,544500,583500,615000,,622500,637500
辣椒,90000,200000,135000,295000,,,,,,,,,493500,571500,,,,,
菜豆,25000,37000,41000,88400,,,,,,,,,715500,750000,795000,831000,,,
豇豆,50000,61000,72300,146000,,,,,,,,,232500,241500,244500,270000,,282000,286500
甜椒,1000,3500,4100,2000,,,,,,,,,,,,,,,
莴苣,30000,110000,140000,180000,,,,,,,,,,,,,,,
大白菜,300000,300000,284000,410000,,,,,,,,,1182000,1210500,1164000,1230000,,1288500,1276500
大蒜,450000,460000,550000,580000,,,,,,,,,474000,466500,478500,465000,,516000,505500
胡萝卜,200000,135000,144000,236800,,,,,,,,,337500,268500,274500,270000,,295500,282000
其他,600000,580000,610000,,,,,,,,,,411000,2545500,369000,360000,,,342000
蕃茄,45000,65000,72000,248000,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,8000,25000,37540,12000,,,,,,,,,,,,,,,
蕹菜,,,,11000,,,,,,,,,,,,,,,
马铃薯,100000,80000,82000,149600,,,,,,,,,,109500,,,,,
菠菜,60000,55000,64000,31000,,,,,,,,,427500,427500,456000,450000,,481500,519000
芹菜,70000,105000,155000,89000,,,,,,,,,447000,471000,486000,510000,,504000,565500
茄子,30000,58000,61000,140000,,,,,,,,,514500,,516000,525000,,565500,588000
蔬菜,3450000,,4700000,,5428500,6010500,6358500,6736500,7372500,8095500,8464500,9004500,9823500,9745500,9973500,10557000,10990500,10779000,11179800
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,60000,68000,73000,90000,,,,,,,,,556500,489000,478500,493500,,,
白菜,400000,418000,416000,670000,603000,97500,808500,1014000,940500,1459500,,,,,,,,,13588950
洋葱,100000,84000,83000,75000,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,45000,72000,79000,60000,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,6500,,,,,,,,,,,,,,,
大葱,80000,85000,88000,81000,,,,,,,,,363000,363000,376500,375000,,393000,415500
姜,,,,,,,,,,,,,,,,,,,
芥菜,50000,60000,64000,75800,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,10000,12000,13500,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,67500,,,,,
韭菜,45000,48000,55000,110000,,,,,,,,,,,,,,,
