品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,272000,269000,259000,307000,,357000,381000
萝卜,750000,611000,673895,722400,,,,,,,,,1534000,1639000,1475000,1660000,,1831000,1740000
普通白菜,210000,232000,258400,520000,,,,,,,,,,,,,,906000,882000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,60000,103400,113390,487500,,,,,,,,,931000,1096000,1190000,1240000,,1350000,1398000
辣椒,200000,440000,303750,516250,,,,,,,,,841000,993000,,,,,
菜豆,50000,61050,65600,154700,,,,,,,,,770000,908000,942000,1008000,,,
豇豆,80000,128100,155445,265720,,,,,,,,,270000,302000,303000,330000,,344000,362000
甜椒,2000,6930,82000,4000,,,,,,,,,,,,,,,
莴苣,60000,242000,308000,505800,,,,,,,,,,,,,,,
大白菜,950000,840000,880400,1230000,,,,,,,,,2287000,2357000,2467000,2510000,,2595000,2627000
大蒜,490000,483000,605000,617000,,,,,,,,,434000,475000,550000,550000,,660000,663000
胡萝卜,350000,283500,309600,507800,,,,,,,,,555000,537000,514000,540000,,672000,547000
其他,1200000,1160000,1311500,,,,,,,,,,491000,,614000,610000,,,445000
蕃茄,90000,139750,154800,570400,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,24000,66350,93850,28080,,,,,,,,,,,,,,,
蕹菜,,,,18150,,,,,,,,,,,,,,,
马铃薯,200000,144000,147600,275264,,,,,,,,,,35000,,,,,
菠菜,100000,95810,118400,34348,,,,,,,,,510000,546000,590000,640000,,712000,762000
芹菜,300000,378000,579700,284800,,,,,,,,,725000,871000,862000,970000,,967000,1100000
茄子,60000,104400,114802,353000,,,,,,,,,752000,,846000,900000,,928000,1007000
蔬菜,5800000,,7100000,,10068500,14520000,17800000,17920000,15091000,14490000,14396970,16182200,15135000,16565000,16712340,18173820,19136730,19234900,20280550
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,120000,149600,166250,180000,,,,,,,,,853000,801000,845000,815000,,,
白菜,1160000,1072000,1138800,1750000,1986500,3190000,3480000,3690000,2909000,2884000,,,,,,,,,20280550
洋葱,250000,168000,166000,175500,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,90000,144000,169850,120000,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,7800,,,,,,,,,,,,,,,
大葱,200000,187000,206800,182250,,,,,,,,,538000,637000,631000,670000,,741000,785000
姜,,,,,,,,,,,,,,,,,,,
芥菜,160000,180000,204800,189500,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,10000,10200,12285,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,93322,,,,,
韭菜,80000,105600,134750,231000,,,,,,,,,,,,,,,
