品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,200000,250000,,,,,,,,,276000,225000,244500,187500,,144000,162000
萝卜,364700,35000,350000,350000,,,,,,,,,1203000,1123500,1047000,960000,,951000,1143000
普通白菜,113200,110000,100000,100000,,,,,,,,,,,,,,511500,489000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,508600,600000,850000,1050000,,,,,,,,,1923000,1927500,1849500,1740000,,1660500,1702500
辣椒,187400,180000,200000,250000,,,,,,,,,,,,,,,
菜豆,222000,220000,250000,250000,,,,,,,,,1434000,1434000,1251000,1117500,,,
豇豆,121600,130000,150000,200000,,,,,,,,,45000,39000,30000,30000,,21000,30000
甜椒,108600,150000,160000,200000,,,,,,,,,,,,,,,
莴苣,62700,60000,65000,,,,,,,,,,,,,,,,
大白菜,1190000,1200000,1150000,1100000,,,,,,,,,4687500,4896000,4458000,3960000,,4419000,4279500
大蒜,1002700,1050000,1200000,1200000,,,,,,,,,3439500,3433500,3285000,3540000,,3454500,3139500
胡萝卜,153100,150000,150000,200000,,,,,,,,,615000,598500,586500,555000,,564000,604500
其他,260000,,668000,590000,,,,,,,,,960000,1651500,778500,630000,,,639000
蕃茄,507800,500000,800000,1000000,,,,,,,,,,,,,,,
苦瓜,,,100000,100000,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,76400,78000,70000,80000,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,526700,500000,600000,700000,,,,,,,,,,,,,,,
菠菜,392600,400000,500000,500000,,,,,,,,,1581000,1434000,1404000,1260000,,1180500,1132500
芹菜,372000,350000,400000,400000,,,,,,,,,1132500,1083000,1009500,1005000,,834000,823500
茄子,459900,400000,500000,600000,,,,,,,,,1215000,,1122000,1005000,,904500,1129500
蔬菜,8800000,9968000,11238000,12955000,12832500,16287000,19014000,19867500,22161000,26826000,27750000,29563500,30406500,29551500,27715500,26073000,25570500,25876500,26339550
冬瓜,,,150000,150000,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,252700,350000,350000,500000,,,,,,,,,778500,762000,651000,634500,,,
白菜,1303200,1310000,1250000,1200000,1050000,1534500,2419500,2535000,2565000,2595000,,,,,,,,,30461550
洋葱,103200,120000,150000,800000,,,,,,,,,,,,,,,
芋,,,200000,300000,,,,,,,,,,,,,,,
花椰菜,128400,120000,150000,200000,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,803200,750000,800000,880000,,,,,,,,,1273500,1383000,1282500,1230000,,1045500,1221000
姜,,,240000,250000,,,,,,,,,,,,,,,
芥菜,78700,80000,50000,50000,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,127600,200000,150000,150000,,,,,,,,,,,,,,,
草莓,,,120000,150000,,,,,,,,,,234000,,,,,
韭菜,400200,500000,600000,600000,,,,,,,,,,,,,,,
