品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,800000,800000,,,,,,,,,704000,694000,728000,522000,,441000,497000
萝卜,1273600,1300000,1300000,1300000,,,,,,,,,3950000,3741000,3606000,3420000,,3263000,4012000
普通白菜,344700,330000,300000,300000,,,,,,,,,,,,,,1946000,1793000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,1629300,2400000,3300000,4100000,,,,,,,,,6552000,6907000,6530000,6690000,,6835000,6882000
辣椒,269700,280000,300000,350000,,,,,,,,,,,,,,,
菜豆,387200,400000,450000,450000,,,,,,,,,2876000,3031000,2845000,2605000,,,
豇豆,189400,210000,240000,350000,,,,,,,,,80000,64000,59000,60000,,39000,71000
甜椒,262200,380000,400000,500000,,,,,,,,,,,,,,,
莴苣,135600,130000,140000,,,,,,,,,,,,,,,,
大白菜,7640000,7600000,7000000,7000000,,,,,,,,,16628000,17629000,16117000,15420000,,17863000,16902000
大蒜,1100000,900000,960000,960000,,,,,,,,,4498000,4591000,4745000,5110000,,5225000,5144000
胡萝卜,392600,400000,400000,500000,,,,,,,,,1894000,1957000,1741000,2020000,,1956000,2000000
其他,780000,,2590000,1590000,,,,,,,,,3315000,,3067000,2700000,,,2234000
蕃茄,1863200,1800000,3000000,3600000,,,,,,,,,,,,,,,
苦瓜,,,150000,150000,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,198700,195000,150000,150000,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,687330,750000,900000,1000000,,,,,,,,,,,,,,,
菠菜,754700,800000,1000000,1000000,,,,,,,,,3763000,3428000,3396000,3150000,,3116000,3099000
芹菜,1503000,1400000,1600000,1600000,,,,,,,,,3951000,3906000,3853000,4010000,,3262000,3352000
茄子,1521100,1500000,1700000,1900000,,,,,,,,,3878000,,3840000,3320000,,3488000,4489000
蔬菜,27000000,29325000,33600000,36500000,36948020,48518000,54328000,57098000,64072000,72568000,75563530,83353740,87293000,88837000,86069790,83093180,83423320,86349740,89371980
冬瓜,,,600000,600000,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,573200,800000,800000,900000,,,,,,,,,2423000,2418000,2148000,2157000,,,
白菜,7984700,7930000,7300000,7300000,7500000,8054000,11780000,11600000,11630000,13050000,,,,,,,,,89371980
洋葱,240700,250000,340000,1700000,,,,,,,,,,,,,,,
芋,,,200000,300000,,,,,,,,,,,,,,,
花椰菜,247600,240000,300000,350000,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,2357700,2200000,2300000,2500000,,,,,,,,,4130000,4473000,4341000,4100000,,3788000,4604000
姜,,,600000,600000,,,,,,,,,,,,,,,
芥菜,173600,180000,110000,110000,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,113700,180000,160000,160000,,,,,,,,,,,,,,,
草莓,,,150000,180000,,,,,,,,,,435249,,,,,
韭菜,1006200,1250000,1500000,1500000,,,,,,,,,,,,,,,
