品种,1991,1992,1993,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,2200,2235,,,,,,,,,12000,7500,12000,13500,,6000,6000
萝卜,11748,11478,11300,,,,,,,,,213000,178500,175500,165000,,172500,154500
普通白菜,9900,11000,12000,,,,,,,,,,,,,,373500,381000
竹笋,,,,,,,,,,,,,,,,,,
黄瓜,23605,26200,27720,,,,,,,,,190500,183000,177000,165000,,165000,183000
辣椒,4516,52826,52826,,,,,,,,,,,,,,,
菜豆,48960,51000,51950,,,,,,,,,253500,211500,216000,207000,,,
豇豆,657,575,1075,,,,,,,,,9000,13500,6000,,,22500,22500
甜椒,9798,9716,9766,,,,,,,,,,,,,,,
莴苣,4700,2916,3800,,,,,,,,,,,,,,,
大白菜,133000,151000,150000,,,,,,,,,603000,523500,546000,540000,,495000,487500
大蒜,4700,2356,2846,,,,,,,,,67500,73500,61500,60000,,51000,51000
胡萝卜,24675,22167,22345,,,,,,,,,279000,253500,231000,240000,,231000,214500
其他,200000,22440,22595,,,,,,,,,297000,1276500,247500,405000,,,471000
蕃茄,54148,58148,58148,,,,,,,,,,,,,,,
苦瓜,,2,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,
南瓜,2790,2960,4060,,,,,,,,,,,,,,,
蕹菜,,15,21,,,,,,,,,,,,,,,
马铃薯,17970,61458,51458,,,,,,,,,,4648500,,,,,
菠菜,29262,27825,28807,,,,,,,,,88500,61500,58500,60000,,69000,72000
芹菜,16116,9582,9600,,,,,,,,,49500,55500,48000,45000,,63000,61500
茄子,9798,9846,9846,,,,,,,,,166500,,147000,135000,,126000,130500
蔬菜,1967000,1940000,2000000,2352000,2611500,2907000,3007500,2967000,3631500,3705000,4065000,4177500,3729000,3673500,3648000,3601500,3615000,3675750
冬瓜,,4200,6100,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,
甘蓝,58716,58716,59000,,,,,,,,,471000,408000,444000,445500,,,
白菜,142900,162000,162000,720000,780000,870000,900000,870000,870000,,,,,,,,,4053150
洋葱,7800,5700,7600,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,
花椰菜,3100,3116,3400,,,,,,,,,,,,,,,
金针菜,,22000,22500,,,,,,,,,,,,,,,
苋菜,,30,40,,,,,,,,,,,,,,,
大葱,25756,36350,36860,,,,,,,,,280500,253500,246000,240000,,261000,249000
姜,,,,,,,,,,,,,,,,,,
芥菜,3855,3100,3200,,,,,,,,,,,,,,,
丝瓜,,5,18,,,,,,,,,,,,,,,
芦笋,760,2310,2560,,,,,,,,,,,,,,,
草莓,,3100,3145,,,,,,,,,,4500,,,,,
韭菜,8670,8655,8755,,,,,,,,,,,,,,,
