品种,1991,1992,1993,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,6600,6705,,,,,,,,,26000,16000,22000,27000,,9000,13000
萝卜,30544,26950,26450,,,,,,,,,510000,459000,471000,410000,,424000,373000
普通白菜,24750,37400,41400,,,,,,,,,,,,,,1136000,1126000
竹笋,,,,,,,,,,,,,,,,,,
黄瓜,73175,82593,87318,,,,,,,,,590000,535000,515000,490000,,489000,575000
辣椒,6774,59904.6,59904,,,,,,,,,,,,,,,
菜豆,73440,74307,75807,,,,,,,,,398000,331000,316000,315000,,,
豇豆,1628,889.5,1779,,,,,,,,,8000,7000,5000,,,29000,31000
甜椒,26455,18373,18446,,,,,,,,,,,,,,,
莴苣,11720,7260,9120,,,,,,,,,,,,,,,
大白菜,850000,770100,770000,,,,,,,,,2040000,1876000,1907000,1840000,,1688000,1647000
大蒜,9400,3157.1,3907,,,,,,,,,119000,129000,108000,80000,,77000,71000
胡萝卜,61687.5,52048,52298,,,,,,,,,688000,631000,537000,550000,,535000,519000
其他,30000,419628,42253,,,,,,,,,520000,,538000,560000,,439000,653000
蕃茄,166748.8,173339,174000,,,,,,,,,,,,,,,
苦瓜,,5,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,
南瓜,6975,6038,8281,,,,,,,,,,,,,,,
蕹菜,,26.3,34,,,,,,,,,,,,,,,
马铃薯,39900,135822.2,115822,,,,,,,,,,608000,,,,,
菠菜,57061.8,58432.5,60932,,,,,,,,,155000,117000,103000,110000,,114000,134000
芹菜,64460,36411.6,36455,,,,,,,,,128000,147000,127000,130000,,173000,144000
茄子,29370,29538,29820,,,,,,,,,451000,,383000,350000,,340000,354000
蔬菜,2415000,4314000,4424000,5428701,6688000,6587000,7837000,7195000,9204000,8632537,10719940,10338000,9162000,9015370,8786737,8215047,8527544,8931437
冬瓜,,21000,30500,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,
甘蓝,182019,182019.6,189000,,,,,,,,,1443000,1284000,1380000,1295000,,,
白菜,874750,807500,811400,1670000,1200000,1180000,1220000,1180000,1510000,,,,,,,,,8931437
洋葱,31200,14877,19836,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,
花椰菜,6138,6225.7,7000,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,
苋菜,,75,100,,,,,,,,,,,,,,,
大葱,51512,86912.9,88815,,,,,,,,,698000,626000,539000,580000,,631000,653000
姜,,,,,,,,,,,,,,,,,,
芥菜,9637,5580,5730,,,,,,,,,,,,,,,
丝瓜,,15,54,,,,,,,,,,,,,,,
芦笋,98.8,1387,1537,,,,,,,,,,,,,,,
草莓,,2325,2358,,,,,,,,,,4549,,,,,
韭菜,17340,18175.5,18975,,,,,,,,,,,,,,,
