品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,259500,220500,214500,219000,,171000,181500
萝卜,32050,35406,39000,31000,,,,,,,,,855000,846000,895500,870000,,910500,795000
普通白菜,102000,113475,121300,125300,,,,,,,,,,,,,,1162500,1218000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,53020,60500,72000,71000,,,,,,,,,660000,712500,673500,705000,,712500,687000
辣椒,290382,302420,315010,325000,,,,,,,,,,,,,,,
菜豆,40000,42000,47000,46000,,,,,,,,,1143000,1155000,1228500,1272000,,,
豇豆,60000,58000,56000,55000,,,,,,,,,115500,121500,106500,120000,,114000,100500
甜椒,259620,260705,270104,280700,,,,,,,,,,,,,,,
莴苣,,,,,,,,,,,,,,,,,,,
大白菜,34900,30519,29000,25000,,,,,,,,,2115000,2172000,2091000,2160000,,1930500,1990500
大蒜,8000,10200,15074,15000,,,,,,,,,390000,355500,358500,390000,,339000,313500
胡萝卜,22321,15000,14752,12000,,,,,,,,,142500,153000,145500,150000,,190500,168000
其他,1110500,1318164,1437430,1150500,,,,,,,,,1090500,4506000,162000,45000,,,18000
蕃茄,39000,40523,50700,55000,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,1200,1100,5000,52000,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,45230,373560,64182,62000,,,,,,,,,,651000,,,,,
菠菜,25800,20000,18000,23000,,,,,,,,,895500,928500,889500,930000,,900000,901500
芹菜,10000,8000,7500,7500,,,,,,,,,540000,573000,600000,615000,,615000,636000
茄子,26300,28005,32540,35000,,,,,,,,,567000,,558000,540000,,531000,537000
蔬菜,8679000,9470000,10570000,11475000,12448500,13486500,14161500,14893500,14418000,15151500,16857000,16920000,17923500,17200500,17440500,17778000,15975000,16689000,17076450
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,25000,15092,12206,11000,,,,,,,,,1227000,1264500,1228500,1279500,,,
白菜,136900,143994,150300,150300,271500,291000,303000,2158500,3595500,4020000,,,,,,,,,17670600
洋葱,11520,10603,9800,9100,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,19200,21003,24424,24000,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,4349,4000,38000,35000,,,,,,,,,304500,301500,351000,360000,,303000,336000
姜,,,,,,,,,,,,,,,,,,,
芥菜,73000,70000,62826,69000,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,205,250,220,200,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,9000,,,,,
韭菜,19802,20404,24000,22000,,,,,,,,,,,,,,,
