品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,378000,335000,338000,344000,,285000,284000
萝卜,41665,42325,58500,46500,,,,,,,,,1443000,1392000,1472000,1440000,,1545000,1418000
普通白菜,125460,102127,131625,136577,,,,,,,,,,,,,,1598000,1667000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,79530,80411,90000,88750,,,,,,,,,1057000,1158000,1074000,1160000,,1157000,1095000
辣椒,275862,287299,287299,299000,,,,,,,,,,,,,,,
菜豆,47600,48200,35250,34500,,,,,,,,,1471000,1487000,1624000,1668000,,,
豇豆,54600,55030,44800,44000,,,,,,,,,142000,147000,142000,150000,,165000,143000
甜椒,244042,245062,256598,266600,,,,,,,,,,,,,,,
莴苣,,,,,,,,,,,,,,,,,,,
大白菜,54095,51459,50750,43750,,,,,,,,,3144000,3190000,3144000,3130000,,2691000,2849000
大蒜,9280,12057,14320,14250,,,,,,,,,390000,360000,384000,390000,,365000,362000
胡萝卜,25669,24103,38946,9000,,,,,,,,,181000,226000,203000,220000,,257000,257000
其他,1310390,1391562,1900709,1885000,,,,,,,,,781000,,232000,250000,,,30000
蕃茄,70200,72052,96330,104500,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,1920,2320,11000,114400,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,38897,336204,34587,33480,,,,,,,,,,178000,,,,,
菠菜,30960,28600,30000,38410,,,,,,,,,1228000,1267000,1251000,1260000,,1217000,1255000
芹菜,17200,15000,,8250,,,,,,,,,764000,801000,877000,870000,,892000,869000
茄子,42080,45000,47183,50750,,,,,,,,,824000,,809000,760000,,729000,759000
蔬菜,11062000,12030000,13670000,15099000,17038590,18650000,19865000,21492000,21096000,22148000,23776000,24425310,25842000,25577000,25960200,26437860,23514770,24314270,25671670
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,28750,25042,21360,19250,,,,,,,,,1775000,1792000,1796000,1786000,,,
白菜,179555,153586,182375,180327,4932491,5190000,5420000,2938000,5390000,7733000,,,,,,,,,25671670
洋葱,13824,12305,10290,9500,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,28800,30420,31751,31200,,,,,,,,,,,,,,,
金针菜,,121633,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,4131,3980,34200,31500,,,,,,,,,394000,370000,433000,430000,,358000,404000
姜,,,,,,,,,,,,,,,,,,,
芥菜,94900,90752,,86250,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,160,210,55,50,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,12307,,,,,
韭菜,26138,30101,25200,23100,,,,,,,,,,,,,,,
