品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,77970,96989,105465,,,,,,,,,240000,244500,259500,273000,,261000,255000
萝卜,,145196,179393,657900,,,,,,,,,991500,1008000,1044000,1065000,,868500,921000
普通白菜,,459789,478385,723608,,,,,,,,,,,,,,702000,697500
竹笋,,62918,76891,106320,,,,,,,,,,,,,,,
黄瓜,,101637,118564,163421,,,,,,,,,460500,492000,517500,555000,,517500,538500
辣椒,,508188,528817,593926,,,,,,,,,,672000,,,,,
菜豆,,72598,230832,263903,,,,,,,,,1072500,1072500,1135500,1186500,,,
豇豆,,111317,136683,140820,,,,,,,,,531000,523500,544500,585000,,555000,561000
甜椒,,120997,206390,238360,,,,,,,,,,,,,,,
莴苣,,87117,107636,157680,,,,,,,,,,,,,,,
大白菜,,329112,448485,639673,,,,,,,,,2526000,2611500,2670000,2715000,,2191500,2241000
大蒜,,263955,358789,402000,,,,,,,,,295500,268500,283500,285000,,246000,253500
胡萝卜,,58078,68080,73216,,,,,,,,,81000,91500,106500,120000,,114000,106500
其他,,273852,446683,972312,,,,,,,,,1149000,9918000,1045500,1020000,,,808500
蕃茄,,188755,233212,302812,,,,,,,,,,,,,,,
苦瓜,,91957,118352,133724,,,,,,,,,,,,,,,
茭白,,77970,,,,,,,,,,,,,,,,,
南瓜,,24199,27198,32196,,,,,,,,,,,,,,,
蕹菜,,188755,223210,297638,,,,,,,,,,,,,,,
马铃薯,,,387120,731300,,,,,,,,,,,,,,,
菠菜,,62918,71758,123850,,,,,,,,,390000,402000,429000,465000,,465000,556500
芹菜,,43075,48818,69326,,,,,,,,,276000,295500,297000,300000,,286500,292500
茄子,,96798,109668,168430,,,,,,,,,262500,,345000,345000,,316500,321000
蔬菜,4000000,4840000,4980000,8647000,8340000,9153000,10236000,11020500,12228000,13492500,13969500,14518500,15102000,15391500,16416000,16977000,14038500,14385000,14669400
冬瓜,,183915,206415,227570,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,,96797,11956,138400,,,,,,,,,709500,742500,777000,786000,,,
白菜,,788901,926870,1363281,2475000,2055000,2157000,2214000,2565000,2460000,,,,,,,,,15997650
洋葱,,24000,,,,,,,,,,,,,,,,,
芋,,401775,441775,478755,,,,,,,,,,,,,,,
花椰菜,,4840,9500,10370,,,,,,,,,,,,,,,
金针菜,,77970,,,,,,,,,,,,,,,,,
苋菜,,5303,6500,8430,,,,,,,,,,,,,,,
大葱,,24000,25000,28000,,,,,,,,,150000,159000,213000,240000,,231000,255000
姜,,186900,230920,244755,,,,,,,,,,,,,,,
芥菜,,111317,137535,302752,,,,,,,,,,,,,,,
丝瓜,,72598,88546,95318,,,,,,,,,,,,,,,
芦笋,,77970,,,,,,,,,,,,,,,,,
草莓,,,2000,,,,,,,,,,,7500,,,,,
韭菜,,9679,10180,14300,,,,,,,,,,,,,,,
