品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,121633,155168,166430,,,,,,,,,357000,348000,362000,391000,,391000,390000
萝卜,,435589,502300,1184220,,,,,,,,,1441000,1412000,1524000,1530000,,1279000,1382000
普通白菜,,919578,932850,1157772,,,,,,,,,,,,,,1014000,1016000
竹笋,,62918,75000,61665.6,,,,,,,,,,,,,,,
黄瓜,,254093,296200,294157,,,,,,,,,562000,623000,666000,710000,,691000,729000
辣椒,,609825,634560,653318,,,,,,,,,,535000,,,,,
菜豆,,72598,230000,263900,,,,,,,,,1016000,1045000,1155000,1229000,,,
豇豆,,77922,102525,108000,,,,,,,,,520000,530000,583000,650000,,620000,643000
甜椒,,145200,247668,253270,,,,,,,,,,,,,,,
莴苣,,104541,134545,189216,,,,,,,,,,,,,,,
大白菜,,822780,986667,1151411,,,,,,,,,3167000,3373000,3609000,3700000,,3161000,3269000
大蒜,,395932,538183,603000,,,,,,,,,180000,174000,204000,210000,,209000,217000
胡萝卜,,69694,81696,76800,,,,,,,,,109000,121000,135000,150000,,153000,146000
其他,,397085,625356,1166700,,,,,,,,,1201000,,1202000,1250000,,,1010000
蕃茄,,471888,583030,635900,,,,,,,,,,,,,,,
苦瓜,,229894,295875,294192,,,,,,,,,,,,,,,
茭白,,121633,,,,,,,,,,,,,,,,,
南瓜,,49388,54400,64392,,,,,,,,,,,,,,,
蕹菜,,660642,669630,595276,,,,,,,,,,,,,,,
马铃薯,,,198297,438780,,,,,,,,,,,,,,,
菠菜,,62918,75000,136235,,,,,,,,,398000,417000,481000,510000,,597000,661000
芹菜,,117594,133272,173310,,,,,,,,,296000,316000,329000,340000,,323000,339000
茄子,,145192,179400,262545,,,,,,,,,321000,,454000,450000,,405000,427000
蔬菜,6600000,8383000,6840000,12239000,13020000,11350000,12213000,14312000,13675000,16130000,17097500,17887780,18710000,19467000,21305900,22478210,19860490,20151740,20630740
冬瓜,,551746,619245,500654,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,,290393,310950,276800,,,,,,,,,882000,955000,1021000,1030000,,,
白菜,,1742358,1919517,2309183,4660000,2720000,3615000,3858000,4520000,4040000,,,,,,,,,20630740
洋葱,,36000,,,,,,,,,,,,,,,,,
芋,,321420,375508,428000,,,,,,,,,,,,,,,
花椰菜,,3870,7600,8800,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,4259,5525,8000,,,,,,,,,,,,,,,
大葱,,36000,37500,42000,,,,,,,,,119000,132000,185000,210000,,201000,226000
姜,,186900,230920,244720,,,,,,,,,,,,,,,
芥菜,,222634,281946,484403,,,,,,,,,,,,,,,
丝瓜,,181495,221500,253200,,,,,,,,,,,,,,,
芦笋,,121633,,,,,,,,,,,,,,,,,
草莓,,,1500,,,,,,,,,,,6071,,,,,
韭菜,,24199,25000,31460,,,,,,,,,,,,,,,
