品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,40,,,,,,,,,,,,,,,
萝卜,17148,26100,31200,22861.5,,,,,,,,,76500,93000,90000,90000,,85500,112500
普通白菜,21861.5,17583.7,21705,49286.5,,,,,,,,,,,,,,78000,91500
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,12113.5,11253,48053,49938.9,,,,,,,,,58500,61500,57000,60000,,75000,63000
辣椒,39159.1,47755.5,53745,62419.6,,,,,,,,,,,,,,,
菜豆,13552.7,14930,23556,14566,,,,,,,,,91500,94500,108000,120000,,,
豇豆,11276.4,10107,20840,12976.5,,,,,,,,,46500,48000,51000,60000,,103500,73500
甜椒,1301,11963.5,7959,11160,,,,,,,,,,,,,,,
莴苣,13224.1,11557.4,22093,14170.7,,,,,,,,,,,,,,,
大白菜,121242.8,135890.8,123360,136511.4,,,,,,,,,369000,333000,385500,390000,,354000,453000
大蒜,24925.7,30153,65070,38169.5,,,,,,,,,49500,46500,39000,45000,,45000,43500
胡萝卜,44713.3,42860.1,60975,42856.5,,,,,,,,,118500,145500,148500,195000,,177000,181500
其他,59007.4,29723,33048,22916.6,,,,,,,,,127500,7035000,154500,105000,,,196500
蕃茄,42926.5,40004,64054,69215,,,,,,,,,,,,,,,
苦瓜,,293.8,278,371.5,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,3530.2,9905,8849,4525,,,,,,,,,,,,,,,
蕹菜,,,,134,,,,,,,,,,,,,,,
马铃薯,115019.2,127267.5,159600,140700,,,,,,,,,,346500,,,,,
菠菜,14747.8,18146.5,14047,20963.9,,,,,,,,,60000,61500,55500,60000,,70500,69000
芹菜,15891,20170.5,20842,20239.9,,,,,,,,,58500,57000,57000,60000,,67500,73500
茄子,18961.8,19306,36414,37793.5,,,,,,,,,54000,,52500,60000,,72000,54000
蔬菜,958000,732000,855000,891000,1072500,1183500,1158000,1239000,1555500,1957500,1888500,2463000,2457000,2784000,2649000,2802000,2649000,2913000,3932550
冬瓜,,1011,559,1671,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,24830.6,23766.8,26509,25401,,,,,,,,,64500,75000,67500,82500,,,
白菜,143104.3,153474.5,145065,185797.9,151500,168000,120000,150000,180000,225000,,,,,,,,,6084600
洋葱,21662.8,24826,27991,37262.6,,,,,,,,,,,,,,,
芋,,,,195,,,,,,,,,,,,,,,
花椰菜,3038.1,3202,3575,4878.2,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,12.5,,40,,,,,,,,,,,,,,,
大葱,18403.7,24073.6,33038,25547.5,,,,,,,,,66000,70500,81000,75000,,85500,96000
姜,,,,78,,,,,,,,,,,,,,,
芥菜,8431,1644.5,5454,4273,,,,,,,,,,,,,,,
丝瓜,,144.5,220,385,,,,,,,,,,,,,,,
芦笋,,20,20,151,,,,,,,,,,,,,,,
草莓,,1679.4,2368,3592,,,,,,,,,,10500,,,,,
韭菜,20906.6,18004,18127,25290.8,,,,,,,,,,,,,,,
