品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,30,,,,,,,,,1000,1000,,,,1000,1000
萝卜,42333.5,59013.5,46829,51445.9,,,,,,,,,180000,221000,214000,210000,,256000,270000
普通白菜,38485.6,37416.2,23595,85867.9,,,,,,,,,,,,,,229000,221000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,47125.2,40718,42786,63287.5,,,,,,,,,179000,177000,191000,210000,,205000,216000
辣椒,78204.4,83984,71754,107692.2,,,,,,,,,,,,,,,
菜豆,17336.2,21093.4,22127,21117.5,,,,,,,,,154000,175000,236000,213000,,,
豇豆,16425.7,18256.5,37512,24587.7,,,,,,,,,80000,84000,99000,110000,,153000,126000
甜椒,3294,21435.4,13790,20850.3,,,,,,,,,,,,,,,
莴苣,31933.1,31410,23979,36843.8,,,,,,,,,,,,,,,
大白菜,559362.3,707650.8,555120,639453.1,,,,,,,,,1131000,1036000,1141000,1200000,,1052000,1268000
大蒜,23382.2,33931,53418,37672.3,,,,,,,,,55000,55000,68000,60000,,71000,68000
胡萝卜,94072.4,79016.4,121950,94469.5,,,,,,,,,276000,358000,337000,440000,,404000,410000
其他,163286.6,63762.4,62706,57290,,,,,,,,,261000,,390000,260000,,,403000
蕃茄,136873.5,118052.1,128108,195198.1,,,,,,,,,,,,,,,
苦瓜,,343.2,355,563.7,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,7354.4,19148.6,18054,7338,,,,,,,,,,,,,,,
蕹菜,,,,189,,,,,,,,,,,,,,,
马铃薯,199045.3,238029.3,211224,225182,,,,,,,,,,95000,,,,,
菠菜,16300.5,256721.3,25837,31488.3,,,,,,,,,101000,103000,110000,110000,,137000,174000
芹菜,40612.9,74888.2,59232,60719.7,,,,,,,,,138000,155000,155000,180000,,163000,227000
茄子,48764.6,54607,48695,69154.3,,,,,,,,,125000,,129000,150000,,200000,145000
蔬菜,1839000,1781000,1861000,2210000,2695524,3020000,2990000,3218000,4061000,5290000,4867416,6749596,7610000,9191000,8622279,9580394,8713368,9706692,13832100
冬瓜,,5310,1118,3242,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,60219.4,57482.1,39763,63502.5,,,,,,,,,173000,200000,217000,255000,,,
白菜,597847.9,745066.2,578715,725321,760000,851000,820000,900000,1120000,1400000,,,,,,,,,13832100
洋葱,59865.5,57774.1,69976,81196.5,,,,,,,,,,,,,,,
芋,,,,292.5,,,,,,,,,,,,,,,
花椰菜,4300.1,7002.8,7036,8529.6,,,,,,,,,,,,,,,
金针菜,177487.5,8365,3372,,,,,,,,,,,,,,,,
苋菜,,6.2,,38,,,,,,,,,,,,,,,
大葱,44472.4,65421.9,43408,64018.3,,,,,,,,,139000,169000,233000,200000,,227000,248000
姜,,,,94.5,,,,,,,,,,,,,,,
芥菜,10032.6,3404,8181,10682.5,,,,,,,,,,,,,,,
丝瓜,,255,316,584,,,,,,,,,,,,,,,
芦笋,,20,15,453,,,,,,,,,,,,,,,
草莓,,1337.8,1705,1311.5,,,,,,,,,,5577,,,,,
韭菜,38063.1,35733.7,24162,46410.5,,,,,,,,,,,,,,,
