品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,507000,493500,474000,466500,,516000,517500
萝卜,200000,191000,195000,200000,,,,,,,,,1081500,969000,940500,930000,,811500,832500
普通白菜,1200000,996000,1040000,1200000,,,,,,,,,,,,,,535500,586500
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,220000,184000,225000,250000,,,,,,,,,762000,739500,762000,720000,,681000,721500
辣椒,350000,201000,185000,400000,,,,,,,,,,,,,,,
菜豆,100000,192000,260000,280000,,,,,,,,,1468500,1431000,1357500,1258500,,,
豇豆,220000,146000,185000,200000,,,,,,,,,372000,373500,379500,360000,,337500,360000
甜椒,50000,68100,84000,80000,,,,,,,,,,,,,,,
莴苣,180000,96000,112000,112000,,,,,,,,,,,,,,,
大白菜,80000,350000,330000,300000,,,,,,,,,2463000,2305500,2187000,2145000,,2064000,2181000
大蒜,700000,463000,490000,650000,,,,,,,,,1521000,1378500,1468500,1545000,,1431000,1408500
胡萝卜,120000,46000,53000,60000,,,,,,,,,372000,309000,321000,330000,,268500,280500
其他,860000,1065700,1221000,1794000,,,,,,,,,1035000,2941500,792000,750000,,,643500
蕃茄,300000,281000,325000,340000,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,50000,31000,32000,30000,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,250000,131000,156000,180000,,,,,,,,,,,,,,,
菠菜,180000,193000,240000,250000,,,,,,,,,846000,753000,807000,735000,,682500,732000
芹菜,200000,226000,261000,260000,,,,,,,,,702000,652500,642000,660000,,583500,642000
茄子,150000,163000,214000,300000,,,,,,,,,682500,,640500,645000,,625500,651000
蔬菜,6100000,6500000,7160000,8080000,8518500,7635000,9289500,11007000,13047000,15840000,17703000,19362000,20125500,18262500,17916000,17418000,15636000,16401000,17214150
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,100000,976000,981000,500000,,,,,,,,,670500,621000,642000,594000,,,
白菜,1280000,1346000,1370000,1500000,195000,1935000,1381500,1255500,1305000,900000,,,,,,,,,19232850
洋葱,160000,98000,100000,100000,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,100000,81000,95000,100000,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,80000,32000,40000,50000,,,,,,,,,360000,331500,331500,345000,,312000,304500
姜,,,,,,,,,,,,,,,,,,,
芥菜,50000,61200,72000,70000,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,50000,,80000,124000,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,91500,,,,,
韭菜,200000,1520000,184000,250000,,,,,,,,,,,,,,,
