品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,927000,917000,876000,866000,,918000,1004000
萝卜,350000,477500,487500,500000,,,,,,,,,2270000,2242000,2209000,2100000,,1750000,1878000
普通白菜,2300000,1792800,1768500,2000000,,,,,,,,,,,,,,1149000,1291000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,500000,736000,815000,820000,,,,,,,,,1413000,1583000,1605000,1600000,,1568000,1706000
辣椒,700000,301500,259000,600000,,,,,,,,,,,,,,,
菜豆,150000,288000,403000,450000,,,,,,,,,1897000,2036000,1942000,1832000,,,
豇豆,400000,233000,296000,400000,,,,,,,,,525000,588000,580000,560000,,537000,601000
甜椒,85000,109000,122000,120000,,,,,,,,,,,,,,,
莴苣,430000,206000,235200,250000,,,,,,,,,,,,,,,
大白菜,250000,875000,805000,800000,,,,,,,,,5770000,5924000,5554000,5810000,,5498000,5911000
大蒜,900000,1032500,1088000,1100000,,,,,,,,,1821000,1733000,1639000,2110000,,2042000,1912000
胡萝卜,250000,101250,119250,120000,,,,,,,,,702000,617000,671000,740000,,569000,623000
其他,2465000,1883090,2969590,2881000,,,,,,,,,1656000,,1761000,1950000,,,1291000
蕃茄,650000,702500,747500,750000,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,130000,77500,82000,160000,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,620000,390000,415600,400000,,,,,,,,,,,,,,,
菠菜,370000,386000,480000,500000,,,,,,,,,1092000,1092000,1189000,1040000,,1040000,1122000
芹菜,370000,723000,742000,750000,,,,,,,,,1374000,1374000,1367000,1320000,,1285000,1481000
茄子,375000,358600,430000,500000,,,,,,,,,1179000,,1221000,1250000,,1252000,1366000
蔬菜,13115000,13900000,15400000,15670000,16000000,17794000,18412000,20045000,27269000,,35624330,39515640,37228000,36787000,36046920,36576810,33180000,35446640,38377640
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,310000,2245000,2060100,1250000,,,,,,,,,1399000,1311000,1343000,1337000,,,
白菜,2550000,2667800,2573500,2800000,500000,6595000,4939000,4239000,5700000,2760000,,,,,,,,,38377640
洋葱,420000,225500,235000,235000,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,220000,122000,142500,150000,,,,,,,,,,,,,,,
金针菜,,3447,3857,3360,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,180000,51200,62000,75000,,,,,,,,,637000,606000,635000,660000,,610000,596000
姜,,,,,,,,,,,,,,,,,,,
芥菜,80000,140760,160560,150000,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,120000,,97500,109000,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,118374,,,,,
韭菜,600000,334400,377200,500000,,,,,,,,,,,,,,,
