品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,178500,180000,135000,135000,,133500,132000
萝卜,,,,,,,,,,,,,808500,798000,838500,915000,,901500,903000
普通白菜,,,,,,,,,,,,,,,,,,645000,625500
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,,,,,,,,,,,,,363000,345000,367500,390000,,397500,399000
辣椒,,,,,,,,,,,,,18000,18000,,,,,
菜豆,,,,,,,,,,,,,540000,546000,547500,549000,,,
豇豆,,,,,,,,,,,,,139500,136500,151500,165000,,136500,135000
甜椒,,,,,,,,,,,,,,,,,,,
莴苣,,,,,,,,,,,,,,,,,,,
大白菜,,,,,,,,,,,,,1308000,1327500,1336500,1380000,,1140000,1153500
大蒜,,,,,,,,,,,,,304500,309000,307500,300000,,300000,297000
胡萝卜,,,,,,,,,,,,,195000,190500,205500,210000,,204000,199500
其他,,100000,,,,,,,,,,,658500,7555500,582000,645000,,,538500
蕃茄,,,,,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,,,,,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,,,,,,,,,,,,,,79500,,,,,
菠菜,,,,,,,,,,,,,267000,283500,283500,300000,,261000,268500
芹菜,,,,,,,,,,,,,312000,319500,354000,360000,,313500,312000
茄子,,,,,,,,,,,,,453000,,439500,450000,,403500,396000
蔬菜,3600000,3780000,5573000,6635000,6534000,6844500,7621500,7374000,7888500,8400000,9075000,9375000,8224500,8293500,8154000,8332500,7507500,7693500,7645350
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,,,,,,,,,,,,,594000,628500,682500,703500,,,
白菜,,,,,1243500,655500,700500,840000,810000,64500,,,,,,,,,8715150
洋葱,,,,,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,,,,,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,,,,,,,,,,,,,187500,168000,160500,195000,,145500,148500
姜,,,,,,,,,,,,,,,,,,,
芥菜,,,,,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,,1500,3500,,,,,,,,,,,,,,,,
草莓,,140,300,,,,,,,,,,,6000,,,,,
韭菜,,,,,,,,,,,,,,,,,,,
