品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,275000,279000,231000,230000,,173000,171000
萝卜,,,,,,,,,,,,,1330000,1347000,1440000,1580000,,1398000,1399000
普通白菜,,,,,,,,,,,,,,,,,,942000,919000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,,,,,,,,,,,,,533000,575000,535000,560000,,549000,550000
辣椒,,,,,,,,,,,,,34000,19000,,,,,
菜豆,,,,,,,,,,,,,639000,633000,675000,685000,,,
豇豆,,,,,,,,,,,,,157000,158000,169000,170000,,158000,155000
甜椒,,,,,,,,,,,,,,,,,,,
莴苣,,,,,,,,,,,,,,,,,,,
大白菜,,,,,,,,,,,,,1776000,1749000,1778000,1800000,,1652000,1689000
大蒜,,,,,,,,,,,,,312000,317000,281000,270000,,264000,261000
胡萝卜,,,,,,,,,,,,,251000,243000,264000,250000,,273000,270000
其他,,450000,,,,,,,,,,,735000,,688000,780000,,,681000
蕃茄,,,,,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,,,,,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,,,,,,,,,,,,,,29000,,,,,
菠菜,,,,,,,,,,,,,312000,322000,339000,350000,,351000,361000
芹菜,,,,,,,,,,,,,433000,438000,457000,470000,,432000,434000
茄子,,,,,,,,,,,,,581000,,547000,550000,,509000,501000
蔬菜,5100000,8202000,11880000,9692000,8094224,8152000,9100000,11180000,10450000,11012000,11603100,12089360,11000000,11187000,11459260,11768060,10672060,10849550,10886080
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,,,,,,,,,,,,,812000,806000,857000,867000,,,
白菜,,,,,834140,613000,750000,1200000,1120000,1302000,,,,,,,,,10886080
洋葱,,,,,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,,,,,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,,,,,,,,,,,,,186000,169000,157000,190000,,149000,151000
姜,,,,,,,,,,,,,,,,,,,
芥菜,,,,,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,,525,1400,,,,,,,,,,,,,,,,
草莓,,56,149,,,,,,,,,,,6144,,,,,
韭菜,,,,,,,,,,,,,,,,,,,
