品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,7500,4500,4500,4500,,4500,4500
萝卜,246100,492479,33180,664230,,,,,,,,,589500,633000,718500,675000,,624000,688500
普通白菜,135300,,,,,,,,,,,,,,,,,1147500,1131000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,322500,222183,256860,299670,,,,,,,,,1564500,1606500,1645500,1680000,,1692000,1732500
辣椒,161500,174539,201780,235410,,,,,,,,,535500,,,,,,
菜豆,170000,128312,148338,173061,,,,,,,,,991500,919500,915000,897000,,,
豇豆,95500,68871,79620,92890,,,,,,,,,199500,135000,123000,120000,,112500,96000
甜椒,143100,92468,112680,131460,,,,,,,,,,,,,,,
莴苣,67600,14532,16800,19600,,,,,,,,,,,,,,,
大白菜,1404100,1100000,890656,891877,,,,,,,,,3652500,3742500,3792000,3765000,,3691500,3618000
大蒜,170300,113764,131520,153440,,,,,,,,,516000,397500,403500,450000,,507000,472500
胡萝卜,131100,,569340,,,,,,,,,,495000,457500,427500,510000,,489000,423000
其他,71911,91099,150000,18500,,,,,,,,,330000,2961000,483000,675000,,582000,721500
蕃茄,280900,221509,256080,298760,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,49500,23977,27720,32340,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,201700,721617,834240,973280,,,,,,,,,,2254500,,,,,
菠菜,227100,131981,152580,178010,,,,,,,,,906000,933000,927000,945000,,930000,984000
芹菜,174400,106654,123300,143850,,,,,,,,,574500,627000,666000,630000,,624000,628500
茄子,156500,126947,146760,171220,,,,,,,,,652500,,726000,720000,,697500,724500
蔬菜,5266000,4592000,4972000,5663000,6133500,7941000,8989500,10015500,11034000,12990000,13885500,15433500,16027500,16233000,16572000,16843500,16125000,16521000,16513950
冬瓜,,22368,25860,30170,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,253700,200956,232320,271040,,,,,,,,,1030500,1053000,1084500,1123500,,,
白菜,1539400,1100000,890656,891877,891000,1845000,1854000,1854000,2106000,2325000,,,,,,,,,18013650
洋葱,57100,32764,37878,44191,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,163800,93990,108660,126770,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,276700,222321,256800,299600,,,,,,,,,766500,822000,855000,855000,,819000,861000
姜,,,,,,,,,,,,,,,,,,,
芥菜,51500,28700,,38710,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,33900,,,,,,,,,,,,,,,,,,
草莓,,26676,30840,35980,,,,,,,,,,229500,,,,,
韭菜,220200,128182,148188,172886,,,,,,,,,,,,,,,
