品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,15000,10000,10000,12000,,10000,10000
萝卜,889600,526025,114908,902306,,,,,,,,,2203000,2332000,2677000,2670000,,2617000,2921000
普通白菜,400300,,,,,,,,,,,,,,,,,4863000,4851000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,449200,999223,1677528,1713996,,,,,,,,,6746000,6966000,7272000,7570000,,7789000,7917000
辣椒,245900,186320,312800,319600,,,,,,,,,1641000,,,,,,
菜豆,292400,230543,387044,395458,,,,,,,,,2411000,2383000,2416000,2395000,,,
豇豆,154800,105216,176640,180480,,,,,,,,,421000,326000,285000,270000,,277000,267000
甜椒,361100,286549,349308,491526,,,,,,,,,,,,,,,
莴苣,214700,40442,67896,69372,,,,,,,,,,,,,,,
大白菜,6266500,4620000,4007952,4218799,,,,,,,,,16018000,16902000,17795000,17760000,,17884000,17613000
大蒜,227100,131794,221260,226070,,,,,,,,,1190000,982000,1004000,1100000,,1362000,1335000
胡萝卜,405300,,883108,,,,,,,,,,1661000,1647000,1560000,1850000,,1823000,1644000
其他,225700,46750,62489,166500,,,,,,,,,1398000,,2140000,2760000,,1777000,2251000
蕃茄,994500,863538,1449736,1481252,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,170500,66746,112056,114492,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,404700,1113152,1868796,1909422,,,,,,,,,,360000,,,,,
菠菜,469700,430180,722200,737900,,,,,,,,,2591000,2734000,2754000,2870000,,2891000,3080000
芹菜,650200,468540,786600,803700,,,,,,,,,2140000,2525000,2699000,2580000,,2513000,2561000
茄子,425100,394998,663136,677552,,,,,,,,,2229000,,2576000,2600000,,2557000,2643000
蔬菜,16141000,12817000,17766000,18365000,21483820,25818000,30338000,35878000,38154000,44540000,48925510,54772400,59034000,61875000,64676100,66467780,64406880,66845620,67420980
冬瓜,,75788,127236,130002,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,724200,581263,975844,997058,,,,,,,,,3931000,4102000,4379000,4605000,,,
白菜,6666800,4620000,4007952,4218799,4108900,6450000,8347000,8642000,8851000,9780000,,,,,,,,,67420980
洋葱,112900,90968,152720,156040,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,379600,230160,386400,394800,,,,,,,,,,,,,,,
金针菜,,4400,4500,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,740400,770378,1293336,1321452,,,,,,,,,2646000,2985000,3080000,3250000,,3206000,3342000
姜,,,,,,,,,,,,,,,,,,,
芥菜,135200,68445,,117406,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,93300,,,,,,,,,,,,,,,,,,
草莓,,36003,60444.4,61758,,,,,,,,,,473806,,,,,
韭菜,708300,453579,761484,778038,,,,,,,,,,,,,,,
