品种,1991,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,412500,408000,426000,481500,,453000,435000
萝卜,700000,,,,,,,,,2026500,1990500,2041500,2085000,,1977000,1942500
普通白菜,20000,,,,,,,,,,,,,,795000,766500
竹笋,,,,,,,,,,,,,,,,
黄瓜,340000,,,,,,,,,1659000,1599000,1803000,1965000,,2062500,2032500
辣椒,280000,,,,,,,,,,702000,,,,,
菜豆,135000,,,,,,,,,1585500,1600500,1701000,1828500,,,
豇豆,220000,,,,,,,,,931500,976500,1029000,1095000,,1198500,1119000
甜椒,170000,,,,,,,,,,,,,,,
莴苣,65000,,,,,,,,,,,,,,,
大白菜,1200000,,,,,,,,,3076500,2842500,3006000,2970000,,2650500,2596500
大蒜,560000,,,,,,,,,1870500,1894500,1972500,2130000,,1785000,1744500
胡萝卜,160000,,,,,,,,,748500,763500,805500,840000,,873000,862500
其他,220000,,,,,,,,,2761500,1921500,3007500,3135000,,,3481500
蕃茄,400000,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,
南瓜,88000,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,
马铃薯,65000,,,,,,,,,,,,,,,
菠菜,200000,,,,,,,,,1053000,1017000,1131000,1125000,,1051500,1011000
芹菜,300000,,,,,,,,,939000,961500,1068000,1125000,,1078500,1071000
茄子,190000,,,,,,,,,1006500,,1068000,1125000,,1155000,1176000
蔬菜,8300000,9111000,10423500,11406000,14017500,15738000,17838000,19563000,20635500,22893000,23866500,23938500,25977000,25324500,25705500,25383150
冬瓜,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,
甘蓝,260000,,,,,,,,,726000,768000,813000,852000,,,
白菜,1220000,2119500,1533000,2703000,3012000,4338000,4725000,,,,,,,,,30278400
洋葱,160000,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,
花椰菜,65000,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,
大葱,230000,,,,,,,,,1222500,1266000,1356000,1365000,,1401000,1405500
姜,,,,,,,,,,,,,,,,
芥菜,26000,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,
芦笋,50000,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,49500,,,,,
韭菜,125000,,,,,,,,,,,,,,,
