品种,1991,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,828000,891000,972000,1161000,,1234000,1277000
萝卜,2100000,,,,,,,,,4643000,5576000,5872000,5830000,,5756000,5806000
普通白菜,440000,,,,,,,,,,,,,,2132000,2113000
竹笋,,,,,,,,,,,,,,,,
黄瓜,1360000,,,,,,,,,3615000,3992000,4985000,5820000,,5883000,5910000
辣椒,280000,,,,,,,,,,925000,,,,,
菜豆,202500,,,,,,,,,2359000,2831000,3429000,4070000,,,
豇豆,506000,,,,,,,,,1390000,1706000,2076000,2390000,,2691000,2837000
甜椒,348500,,,,,,,,,,,,,,,
莴苣,78000,,,,,,,,,,,,,,,
大白菜,4320000,,,,,,,,,7289000,8012000,8442000,8700000,,8203000,7859000
大蒜,616000,,,,,,,,,3360000,3681000,4112000,4550000,,3777000,3792000
胡萝卜,304000,,,,,,,,,1733000,1911000,2098000,2300000,,2298000,2421000
其他,440000,,,,,,,,,3016000,,4497000,5100000,,,3328000
蕃茄,1040000,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,
南瓜,125840,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,
马铃薯,10400,,,,,,,,,,,,,,,
菠菜,280000,,,,,,,,,1221000,1561000,1805000,1930000,,1955000,2027000
芹菜,930000,,,,,,,,,2241000,2516000,2793000,3110000,,2879000,3092000
茄子,399000,,,,,,,,,1621000,,2321000,2540000,,2983000,3128000
蔬菜,18500000,16607950,21652000,24937000,30982000,33923000,39818000,43109020,46908010,45104000,52375000,58802460,64000000,62354940,63943130,63703840
冬瓜,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,
甘蓝,637000,,,,,,,,,1704000,1918000,2073000,2307000,,,
白菜,4760000,5002210,5023000,10002000,11145000,14807000,16140000,,,,,,,,,63703840
洋葱,160000,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,
花椰菜,97500,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,
大葱,529000,,,,,,,,,2545000,3068000,3346000,3580000,,3633000,4065000
姜,,,,,,,,,,,,,,,,
芥菜,52000,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,
芦笋,100000,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,63329,,,,,
韭菜,275000,,,,,,,,,,,,,,,
