品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,11400,12754,27390,,,,,,,,,81000,84000,91500,99000,,111000,111000
萝卜,290000,315175,357097,416990,,,,,,,,,540000,507000,549000,510000,,484500,474000
普通白菜,460000,461437,522890,491040,,,,,,,,,,,,,,333000,310500
竹笋,,558944,633421,411790,,,,,,,,,,,,,,,
黄瓜,50000,90157,102028,131880,,,,,,,,,253500,258000,255000,255000,,250500,247500
辣椒,50000,63905,72270,65040,,,,,,,,,330000,330000,,,,,
菜豆,34000,63905,72270,95120,,,,,,,,,1021500,1003500,1057500,979500,,,
豇豆,62000,86406,97776,112160,,,,,,,,,234000,253500,277500,255000,,307500,294000
甜椒,19000,26402,29758,53390,,,,,,,,,,,,,,,
莴苣,30000,33903,38260,61300,,,,,,,,,,,,,,,
大白菜,130000,176414,199804,168500,,,,,,,,,556500,558000,474000,495000,,511500,463500
大蒜,45000,52054,59516,73600,,,,,,,,,24000,135000,145500,150000,,142500,138000
胡萝卜,20000,22650,25507,18830,,,,,,,,,15000,46500,48000,45000,,46500,51000
其他,560000,401370,454873,391350,,,,,,,,,1251000,3856500,714000,780000,,,814500
蕃茄,46000,75156,85023,107320,,,,,,,,,,,,,,,
苦瓜,,2025,4251,2860,,,,,,,,,,,,,,,
茭白,,78906,89274,95970,,,,,,,,,,,,,,,
南瓜,45000,75156,85023,69390,,,,,,,,,,,,,,,
蕹菜,,7650,8502,14000,,,,,,,,,,,,,,,
马铃薯,100000,172664,195553,329620,,,,,,,,,,,,,,,
菠菜,32000,45154,51014,64910,,,,,,,,,157500,150000,151500,150000,,163500,148500
芹菜,50000,71406,80772,117360,,,,,,,,,250500,258000,259500,270000,,286500,271500
茄子,60000,101408,114781,161780,,,,,,,,,357000,,361500,360000,,349500,328500
蔬菜,3000000,3750000,4251000,4483000,4462500,4696500,4936500,5520000,6187500,7483500,8467500,10455000,10512000,9915000,10000500,10078500,10260000,9277500,9282900
冬瓜,,78906,89274,67370,,,,,,,,,,,,,,,
藠头,,7650,8502,5200,,,,,,,,,,,,,,,
甘蓝,93000,105158,121157,132600,,,,,,,,,333000,349500,349500,360000,,,
白菜,590000,637851,722694,659540,210000,220500,232500,255000,285000,345000,,,,,,,,,10936350
洋葱,11000,18901,21256,25820,,,,,,,,,,,,,,,
芋,,101408,114781,139460,,,,,,,,,,,,,,,
花椰菜,73000,93907,108404,111660,,,,,,,,,,,,,,,
金针菜,,15151,17005,13540,,,,,,,,,,,,,,,
苋菜,,15150,17005,24740,,,,,,,,,,,,,,,
大葱,6000,11400,12754,15820,,,,,,,,,52500,42000,46500,45000,,39000,43500
姜,,22650,25507,37520,,,,,,,,,,,,,,,
芥菜,200000,183915,208306,263860,,,,,,,,,,,,,,,
丝瓜,,37653,42512,51730,,,,,,,,,,,,,,,
芦笋,12000,15151,17005,21250,,,,,,,,,,,,,,,
草莓,,18901,21256,34110,,,,,,,,,,72000,,,,,
韭菜,26000,30152,34009,56530,,,,,,,,,,,,,,,
