品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,20681,23143,35570,,,,,,,,,146000,151000,166000,178000,,185000,210000
萝卜,568400,854831,956610,975320,,,,,,,,,1278000,989000,1271000,1210000,,1259000,1244000
普通白菜,841800,944451,1056899,891640,,,,,,,,,,,,,,743000,737000
竹笋,,89620,100290,243090,,,,,,,,,,,,,,,
黄瓜,110000,227495,254582,328410,,,,,,,,,632000,635000,646000,660000,,641000,641000
辣椒,75000,110300,123434,121130,,,,,,,,,417000,417000,,,,,
菜豆,34000,75832,84860,10720,,,,,,,,,995000,1057000,1110000,1073000,,,
豇豆,173600,144770,162006,180480,,,,,,,,,335000,364000,386000,380000,,450000,437000
甜椒,28500,48257,54002,99410,,,,,,,,,,,,,,,
莴苣,45000,62044,69431,106630,,,,,,,,,,,,,,,
大白菜,390000,489460,547736,435860,,,,,,,,,1199000,1276000,1157000,1110000,,1186000,1200000
大蒜,58500,82726,92575,93020,,,,,,,,,43000,177000,216000,210000,,202000,196000
胡萝卜,30000,34469,38573,23690,,,,,,,,,35000,84000,84000,70000,,73000,82000
其他,896000,752113,841666,724980,,,,,,,,,2420000,,1088000,1180000,,,988000
蕃茄,133400,19990,223723,258580,,,,,,,,,,,,,,,
苦瓜,,2758,3086,7884,,,,,,,,,,,,,,,
茭白,,117195,131148,145800,,,,,,,,,,,,,,,
南瓜,72000,144770,162006,133920,,,,,,,,,,,,,,,
蕹菜,,13788,15429,24990,,,,,,,,,,,,,,,
马铃薯,126000,275752,308584,416110,,,,,,,,,,,,,,,
菠菜,32000,62044,69431,81140,,,,,,,,,189000,177000,178000,180000,,197000,180000
芹菜,120000,220602,246867,336360,,,,,,,,,517000,603000,578000,580000,,624000,657000
茄子,102000,227495,254582,383650,,,,,,,,,724000,,869000,720000,,757000,754000
蔬菜,4500000,6894000,7715000,8196000,8228689,8882000,8950000,10095000,11274000,13590000,15491280,17815060,17982000,17690000,17646020,18212220,18601600,17579210,17647630
冬瓜,,241283,270011,290140,,,,,,,,,,,,,,,
藠头,,6894,7715,7050,,,,,,,,,,,,,,,
甘蓝,195300,261964,293154,286280,,,,,,,,,800000,754000,793000,969000,,,
白菜,1231800,1433911,1604635,1327500,575610,604000,637000,710000,800000,960000,,,,,,,,,17647630
洋葱,14630,27575,30858,42130,,,,,,,,,,,,,,,
芋,,186132,208294,197520,,,,,,,,,,,,,,,
花椰菜,109500,282646,316298,364720,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,20681,23144,39420,,,,,,,,,,,,,,,
大葱,7620,13788,15429,28270,,,,,,,,,97000,104000,79000,90000,,85000,107000
姜,,34469,38573,50320,,,,,,,,,,,,,,,
芥菜,600000,468778,524592,522820,,,,,,,,,,,,,,,
丝瓜,,62044,69431,108430,,,,,,,,,,,,,,,
芦笋,6000,6894,7715,15320,,,,,,,,,,,,,,,
草莓,,34469,38573,43350,,,,,,,,,,96209,,,,,
韭菜,39000,41363,46288,67530,,,,,,,,,,,,,,,
