品种,1991,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,4500,1335,,,,,,,,,7500,9000,6000,6000,,12000,10500
萝卜,76931,83456,88739,,,,,,,,,64500,90000,97500,90000,,84000,73500
普通白菜,166685,173243,185987,,,,,,,,,,,,,,72000,67500
竹笋,,2498,26566,,,,,,,,,,,,,,,
黄瓜,111487,104365,96945,,,,,,,,,73500,88500,76500,105000,,115500,87000
辣椒,34512,57531,35840,,,,,,,,,,123000,,,,,
菜豆,38892,56783,83295,,,,,,,,,217500,261000,259500,300000,,,
豇豆,14729,46789,50400,,,,,,,,,,,153000,150000,,204000,130500
甜椒,2387,5624,53376,,,,,,,,,,,,,,,
莴苣,,4000,1210,,,,,,,,,,,,,,,
大白菜,76483,81368,82027,,,,,,,,,118500,114000,103500,105000,,114000,112500
大蒜,33748,53672,33476,,,,,,,,,19500,19500,22500,30000,,19500,25500
胡萝卜,2894,3246,3388,,,,,,,,,3000,4500,3000,,,6000,4500
其他,90644,64204,121989,,,,,,,,,693000,771000,621000,585000,,,594000
蕃茄,19456,32894,23873,,,,,,,,,,,,,,,
苦瓜,,58000,78356,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,
南瓜,26288,42928,67383,,,,,,,,,,,,,,,
蕹菜,,24675,20570,,,,,,,,,,,,,,,
马铃薯,,13216,623,,,,,,,,,,,,,,,
菠菜,11634,25823,14331,,,,,,,,,33000,33000,37500,30000,,39000,43500
芹菜,12514,32563,20618,,,,,,,,,33000,36000,37500,45000,,40500,43500
茄子,25704,42703,42061,,,,,,,,,90000,,100500,120000,,58500,67500
蔬菜,1102000,1340000,1430000,1590000,2100000,2017500,2206500,2209500,2233500,2415000,2410500,2428500,2415000,2586000,2838000,2625000,2829000,3033450
冬瓜,,82500,98671,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,
甘蓝,4290,5678,33190,,,,,,,,,66000,55500,64500,63000,,,
白菜,243168,254611,268014,100500,198000,201000,165000,150000,150000,,,,,,,,,3499050
洋葱,7827,6786,980,,,,,,,,,,,,,,,
芋,,27000,13333,,,,,,,,,,,,,,,
花椰菜,45410,42380,34971,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,
苋菜,,2000,4688,,,,,,,,,,,,,,,
大葱,19281,23480,15283,,,,,,,,,21000,24000,28500,30000,,24000,24000
姜,,26746,15020,,,,,,,,,,,,,,,
芥菜,18579,20261,30079,,,,,,,,,,,,,,,
丝瓜,,59000,34138,,,,,,,,,,,,,,,
芦笋,471,5600,4400,,,,,,,,,,,,,,,
草莓,,2000,,,,,,,,,,,,,,,,
韭菜,17676,22106,13091,,,,,,,,,,,,,,,
