品种,1991,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,4500,1041,,,,,,,,,14000,14000,13000,9000,,18000,17000
萝卜,62574,57881,81461,,,,,,,,,89000,109000,124000,110000,,92000,90000
普通白菜,117596.6,102222,150840,,,,,,,,,,,,,,75000,70000
竹笋,,1998,12892,,,,,,,,,,,,,,,
黄瓜,220186.7,181252,105360,,,,,,,,,138000,161000,146000,190000,,218000,178000
辣椒,13603,22676,21635,,,,,,,,,,192000,,,,,
菜豆,31957,30548,67621,,,,,,,,,340000,309000,320000,418000,,,
豇豆,11814.6,37529,3528,,,,,,,,,,,204000,200000,,272000,160000
甜椒,934,5352,59108,,,,,,,,,,,,,,,
莴苣,,2000,786,,,,,,,,,,,,,,,
大白菜,54862,58366,62777,,,,,,,,,109000,111000,107000,110000,,125000,115000
大蒜,17570.2,27943,20409,,,,,,,,,17000,15000,17000,20000,,16000,26000
胡萝卜,1808,2028,1613,,,,,,,,,4000,5000,4000,,,6000,8000
其他,89570.2,38195,52238,,,,,,,,,468000,,419000,300000,,,680000
蕃茄,13807,23343,14949,,,,,,,,,,,,,,,
苦瓜,,52000,60168,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,
南瓜,24421.8,29879,58367,,,,,,,,,,,,,,,
蕹菜,,162885,18446,,,,,,,,,,,,,,,
马铃薯,,3269,1684,,,,,,,,,,,,,,,
菠菜,6560.1,14561,10907,,,,,,,,,31000,29000,35000,30000,,40000,46000
芹菜,9660,25137,12887,,,,,,,,,34000,38000,41000,40000,,45000,50000
茄子,24459,30635,40330,,,,,,,,,157000,,130000,190000,,98000,78000
蔬菜,1067000,1059000,1110000,1327408,1921000,1848000,2232000,2552000,2671000,2758102,2794405,2984000,3140000,3121606,3410065,3585050,3792084,4100049
冬瓜,,105000,81950,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,
甘蓝,3756,4971,22325,,,,,,,,,77000,56000,68000,61000,,,
白菜,172458.6,160588,213617,16530,152000,154000,165000,150000,150000,,,,,,,,,4100049
洋葱,3907,3387,2450,,,,,,,,,,,,,,,
芋,,21999,13223,,,,,,,,,,,,,,,
花椰菜,39566,36926,23169,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,
苋菜,,2000,3879,,,,,,,,,,,,,,,
大葱,11472.8,13970,8758,,,,,,,,,20000,21000,25000,20000,,21000,20000
姜,,26067,8180,,,,,,,,,,,,,,,
芥菜,15787.4,17522,19389,,,,,,,,,,,,,,,
丝瓜,,41910,23808,,,,,,,,,,,,,,,
芦笋,161,5600,3520,,,,,,,,,,,,,,,
草莓,,1600,,,,,,,,,,,612,,,,,
韭菜,12573,10724,8368,,,,,,,,,,,,,,,
