品种,1991,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,1020000,781500,732000,723000,,690000,694500
萝卜,424431,,,,,,,,,1957500,1713000,1545000,1575000,,1672500,1668000
普通白菜,545378,,,,,,,,,,,,,,1191000,1249500
竹笋,,,,,,,,,,,,,,,,
黄瓜,128752,,,,,,,,,940500,865500,909000,900000,,892500,934500
辣椒,542872,,,,,,,,,526500,504000,,,,,
菜豆,79157,,,,,,,,,1554000,1510500,1420500,1488000,,,
豇豆,205193,,,,,,,,,616500,618000,571500,600000,,565500,591000
甜椒,3410,,,,,,,,,,,,,,,
莴苣,251677,,,,,,,,,,,,,,,
大白菜,365549,,,,,,,,,2064000,1930500,1914000,2100000,,2199000,1884000
大蒜,312136,,,,,,,,,501000,504000,424500,450000,,448500,469500
胡萝卜,51551,,,,,,,,,457500,436500,396000,435000,,406500,477000
其他,487705,,,,,,,,,610500,3837000,520500,510000,,,490500
蕃茄,147060,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,
南瓜,133739,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,
马铃薯,346117,,,,,,,,,,3153000,,,,,
菠菜,319444,,,,,,,,,603000,567000,561000,585000,,654000,613500
芹菜,92552,,,,,,,,,352500,357000,331500,390000,,379500,366000
茄子,167891,,,,,,,,,760500,,649500,645000,,733500,753000
蔬菜,5780000,8761500,9846000,10825500,12366000,13581000,14529000,16300500,16036500,16303500,15316500,15072000,15264000,13771500,15240000,16188750
冬瓜,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,
甘蓝,444476,,,,,,,,,894000,937500,1009500,1174500,,,
白菜,910927,633000,1182000,1284000,1563000,1498500,1203000,,,,,,,,,17638800
洋葱,60580,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,
花椰菜,220299,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,
大葱,272068,,,,,,,,,298500,297000,270000,270000,,303000,292500
姜,,,,,,,,,,,,,,,,
芥菜,135547,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,
芦笋,4477,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,16500,,,,,
韭菜,37939,,,,,,,,,,,,,,,
