品种,1991,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,1970000,1645000,1519000,1525000,,1313000,1348000
萝卜,1218392,,,,,,,,,4343000,3573000,3311000,3430000,,3499000,3513000
普通白菜,904461,,,,,,,,,,,,,,2500000,2738000
竹笋,,,,,,,,,,,,,,,,
黄瓜,272711,,,,,,,,,1772000,1682000,1764000,1930000,,1793000,1932000
辣椒,836273,,,,,,,,,824000,907000,,,,,
菜豆,106982,,,,,,,,,2769000,2581000,2725000,2674000,,,
豇豆,278157,,,,,,,,,1137000,1062000,1129000,1160000,,1072000,1114000
甜椒,4271,,,,,,,,,,,,,,,
莴苣,320518,,,,,,,,,,,,,,,
大白菜,1201542,,,,,,,,,4067000,4074000,3783000,4240000,,4274000,4189000
大蒜,380951,,,,,,,,,719000,709000,589000,670000,,741000,782000
胡萝卜,64244,,,,,,,,,870000,825000,724000,740000,,717000,857000
其他,712798,,,,,,,,,1001000,,879000,920000,,,826000
蕃茄,257897,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,
南瓜,232449,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,
马铃薯,520892,,,,,,,,,,674000,,,,,
菠菜,178839,,,,,,,,,1000000,886000,876000,860000,,913000,1019000
芹菜,143220,,,,,,,,,536000,644000,514000,580000,,543000,597000
茄子,290197,,,,,,,,,1326000,,1141000,1160000,,1298000,1327000
蔬菜,9820000,16633560,20626000,23034000,26692000,26310000,27173000,29900340,30522690,31418000,29962000,29169110,29441440,26553480,28906480,29795700
冬瓜,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,
甘蓝,731770,,,,,,,,,2339000,2398000,2567000,2526000,,,
白菜,2106003,1603600,3007000,3258000,3958000,4056000,2216000,,,,,,,,,29795700
洋葱,68240,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,
花椰菜,196990,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,
大葱,531821,,,,,,,,,469000,468000,452000,460000,,466000,463000
姜,,,,,,,,,,,,,,,,
芥菜,302270,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,
芦笋,6398,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,28267,,,,,
韭菜,57717,,,,,,,,,,,,,,,
