品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,240000,219000,228000,258000,,238500,214500
萝卜,40000,316006,32050,281000,,,,,,,,,1270500,1269000,1164000,1380000,,1344000,1327500
普通白菜,60000,472134,517700,552000,,,,,,,,,,,,,,903000,508500
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,30000,163500,255000,324000,,,,,,,,,724500,732000,757500,795000,,978000,1083000
辣椒,145000,537792,885600,1065000,,,,,,,,,1509000,1632000,,,,,
菜豆,10000,61834,81900,87500,,,,,,,,,940500,952500,987000,1036500,,,
豇豆,40000,147756,205000,213000,,,,,,,,,315000,324000,336000,360000,,378000,348000
甜椒,11000,9375,12000,10000,,,,,,,,,,,,,,,
莴苣,50000,157783,198500,201000,,,,,,,,,,,,,,,
大白菜,95000,454404,584700,592100,,,,,,,,,1749000,1776000,1839000,1935000,,2008500,2191500
大蒜,44000,172857,186000,188000,,,,,,,,,438000,432000,447000,690000,,693000,576000
胡萝卜,23000,113454,144650,164250,,,,,,,,,403500,415500,354000,450000,,429000,481500
其他,,1740264,2055670,1180150,,,,,,,,,910500,11482500,897000,1005000,,,426000
蕃茄,50000,91177,114200,104200,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,20000,148554,159500,163200,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,43000,349200,356000,412500,,,,,,,,,,1630500,,,,,
菠菜,18000,56712,81850,,,,,,,,,,387000,310500,322500,345000,,301500,289500
芹菜,3000,98847,148850,152000,,,,,,,,,376500,355500,367500,390000,,418500,309000
茄子,34000,191284,208600,224000,,,,,,,,,556500,,579000,615000,,604500,676500
蔬菜,5600000,6422000,7443000,7535000,6760500,7386000,7884000,8775000,9525000,10804500,12429000,13494000,14464500,14439000,14955000,15691500,14757000,15045000,15955200
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,40000,197140,214450,215000,,,,,,,,,924000,931500,966000,1012500,,,
白菜,155000,926538,1102400,1144100,,634500,651000,724500,781500,921000,,,,,,,,,17868750
洋葱,2600,16368,14900,15000,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,21000,48612,56200,58400,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,8000,10822,7400,8000,,,,,,,,,,,,,,,
姜,,,,,,,,,,,,,,,,,,,
芥菜,16000,47292,66980,70000,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,750,2167,2800,2500,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,55500,,,,,
韭菜,10000,27798,29300,32000,,,,,,,,,,,,,,,
