品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,323000,330000,343000,361000,,423000,401000
萝卜,84000,667292,77000,695000,,,,,,,,,2454000,2468000,2369000,2710000,,2256000,2330000
普通白菜,93000,721807,835000,886200,,,,,,,,,,,,,,1896000,1186000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,57000,313730,518200,681400,,,,,,,,,1220000,1227000,1277000,1340000,,1403000,1654000
辣椒,217500,717095,1295200,1863750,,,,,,,,,1530000,1614000,,,,,
菜豆,11000,73200,81000,96200,,,,,,,,,1225000,1264000,1316000,1386000,,,
豇豆,60000,191470,299460,325000,,,,,,,,,345000,354000,368000,390000,,463000,407000
甜椒,19250,9444,12580,10500,,,,,,,,,,,,,,,
莴苣,77500,218785,328400,354100,,,,,,,,,,,,,,,
大白菜,266000,1246890,1685000,1875300,,,,,,,,,3194000,3321000,3456000,3640000,,3906000,4396000
大蒜,55880,287928,307000,324000,,,,,,,,,405000,400000,417000,740000,,786000,654000
胡萝卜,32200,182872,285000,369415,,,,,,,,,559000,577000,561000,630000,,651000,815000
其他,,1788725,2542800,901085,,,,,,,,,1268000,,1325000,1470000,,,935000
蕃茄,87500,166913,259800,224300,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,36000,269523,274210,315000,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,51600,328470,400000,569100,,,,,,,,,,344000,,,,,
菠菜,18000,57661,91700,,,,,,,,,,437000,356000,370000,390000,,363000,358000
芹菜,45000,192636,322500,384200,,,,,,,,,534000,514000,535000,560000,,572000,416000
茄子,56100,381091,437240,491200,,,,,,,,,839000,,975000,1030000,,986000,1135000
蔬菜,8800000,9567000,12752000,12764000,11346330,12316000,12864000,14792000,15639000,17799000,19833600,21862370,22959000,23053000,23990460,25268220,26522040,25781770,28441990
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,80000,322038,386000,405100,,,,,,,,,1853000,1882000,1958000,2063000,,,
白菜,359000,1968697,2520000,2761500,,1428000,1476000,1697000,1788000,2115000,,,,,,,,,28441990
洋葱,3900,24698,24000,26500,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,24360,69487,83500,88300,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,12880,16640,12000,15000,,,,,,,,,,,,,,,
姜,,,,,,,,,,,,,,,,,,,
芥菜,22400,71938,101400,121000,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,450,1016,1300,1200,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,22829,,,,,
韭菜,14500,34137,38500,44200,,,,,,,,,,,,,,,
