品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,,,,,,,
萝卜,80327.7,,,113400,,,,,,,,,202500,222000,243000,240000,,378000,313500
普通白菜,68793.3,,,51250,,,,,,,,,,,,,,123000,111000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,28951.7,,,41983,,,,,,,,,172500,163500,172500,195000,,208500,228000
辣椒,61092.8,,,92513,,,,,,,,,,,,,,,
菜豆,9903.3,,,9946,,,,,,,,,109500,127500,142500,157500,,,
豇豆,7308,,,9696,,,,,,,,,19500,16500,27000,30000,,34500,43500
甜椒,16775.3,,,,,,,,,,,,,,,,,,
莴苣,9305.6,,,5840,,,,,,,,,,,,,,,
大白菜,130172.3,,,173000,,,,,,,,,396000,447000,496500,495000,,514500,531000
大蒜,52355.8,,,40765,,,,,,,,,144000,121500,132000,135000,,154500,135000
胡萝卜,36538.3,,,100480,,,,,,,,,255000,249000,262500,255000,,289500,244500
其他,41192,,,355000,,,,,,,,,300000,3793500,957000,1020000,,,1102500
蕃茄,35381,,,46698,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,15160.7,,,1702,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,1644270,,,120776,,,,,,,,,,8236500,,,,,
菠菜,25596.6,,,26416,,,,,,,,,70500,82500,81000,75000,,138000,130500
芹菜,22634.6,,,27056,,,,,,,,,73500,73500,81000,90000,,124500,132000
茄子,39030,,,37948,,,,,,,,,166500,,198000,195000,,208500,226500
蔬菜,917000,,,1371000,1759500,1752000,1888500,2500500,2604000,2775000,2803500,3010500,4030500,4251000,4602000,4762500,5205000,5517000,5574450
冬瓜,,,,2566,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,85184.7,,,74253,,,,,,,,,82500,82500,88500,114000,,,
白菜,198965.6,,,224250,285000,250500,252000,285000,255000,210000,,,,,,,,,6322500
洋葱,28221,,,22840,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,13198,,,,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,49137,,,55181,,,,,,,,,165000,177000,187500,195000,,199500,199500
姜,,,,,,,,,,,,,,,,,,,
芥菜,946,,,,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,362,,,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,13500,,,,,
韭菜,59688,,,51577,,,,,,,,,,,,,,,
