品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,,,,,,,
萝卜,222057.8,,,304000,,,,,,,,,386000,498000,533000,530000,,608000,678000
普通白菜,136723.1,,,78148,,,,,,,,,,,,,,365000,338000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,76815.1,,,107040,,,,,,,,,519000,476000,495000,560000,,607000,751000
辣椒,101454.5,,,228113,,,,,,,,,,,,,,,
菜豆,13474.6,,,20890,,,,,,,,,116000,132000,217000,131000,,,
豇豆,13126,,,27439,,,,,,,,,28000,29000,42000,20000,,65000,67000
甜椒,45118,,,,,,,,,,,,,,,,,,
莴苣,18543.3,,,14900,,,,,,,,,,,,,,,
大白菜,467093.1,,,490000,,,,,,,,,964000,1167000,1308000,1490000,,1468000,1589000
大蒜,43901.2,,,83339,,,,,,,,,143000,140000,141000,140000,,170000,173000
胡萝卜,64231.9,,,251900,,,,,,,,,500000,509000,564000,530000,,592000,562000
其他,46555.2,,,259086,,,,,,,,,753000,,651000,820000,,,761000
蕃茄,99753.9,,,136037,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,37623.1,,,6501,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,535977.1,,,191538,,,,,,,,,,1708000,,,,,
菠菜,86632,,,46966,,,,,,,,,82000,73000,89000,90000,,132000,166000
芹菜,41376.5,,,56620,,,,,,,,,162000,180000,204000,240000,,345000,347000
茄子,113175.1,,,102039,,,,,,,,,473000,,522000,540000,,573000,675000
蔬菜,2046000,,,2919000,3275914,3258000,3449000,4370000,4601000,5010000,5990394,6414958,7326000,8126000,8669087,9338519,9065316,10822890,11453520
冬瓜,,,,9338,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,182939.8,,,142921.5,,,,,,,,,191000,206000,244000,240000,,,
白菜,603816.2,,,568148,910685,752000,763000,790000,690000,670000,,,,,,,,,11453520
洋葱,79265.8,,,85079,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,30070.6,,,,,,,,,,,,,,,,,,
金针菜,,7.5,8,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,95607.2,,,105675,,,,,,,,,292000,303000,317000,330000,,385000,304000
姜,,,,,,,,,,,,,,,,,,,
芥菜,2870,,,,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,656,,,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,13333,,,,,
韭菜,152856.3,,,172431,,,,,,,,,,,,,,,
