品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,28500,30000,36000,34500,,39000,36000
萝卜,,,,,,,,,,,,,684000,711000,736500,735000,,699000,703500
普通白菜,,,,,,,,,,,,,,,,,,886500,885000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,,,,,,,,,,,,,340500,349500,360000,375000,,367500,378000
辣椒,,,,,,,,,,,,,205500,,,,,,
菜豆,,,,,,,,,,,,,795000,858000,859500,852000,,,
豇豆,,,,,,,,,,,,,147000,181500,210000,135000,,148500,159000
甜椒,,,,,,,,,,,,,,,,,,,
莴苣,,,,,,,,,,,,,,,,,,,
大白菜,,,,,,,,,,,,,1128000,1074000,1047000,1050000,,1048500,1075500
大蒜,,,,,,,,,,,,,82500,90000,91500,90000,,87000,91500
胡萝卜,,,,,,,,,,,,,138000,141000,138000,135000,,144000,151500
其他,,,,,,,,,,,,,432000,2365500,280500,255000,,,222000
蕃茄,,,,,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,,,,,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,,,,,,,,,,,,,,1293000,,,,,
菠菜,,,,,,,,,,,,,246000,252000,241500,240000,,240000,249000
芹菜,,,,,,,,,,,,,184500,205500,183000,180000,,181500,192000
茄子,,,,,,,,,,,,,303000,,306000,300000,,318000,327000
蔬菜,3600000,4343000,4962000,5605000,6021000,6501000,6667500,6979500,7294500,8071500,8439000,8943000,9207000,9337500,9481500,9571500,9534000,9660000,9799650
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,,,,,,,,,,,,,909000,901500,927000,900000,,,
白菜,,,,,600000,780000,802500,840000,877500,970500,,,,,,,,,10328700
洋葱,,,,,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,,,,,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,,,,,,,,,,,,,,136500,138000,150000,,,
姜,,,,,,,,,,,,,,,,,,,
芥菜,,,,,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,,,,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,10500,,,,,
韭菜,,,,,,,,,,,,,,,,,,,
