品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,53000,58000,66000,61000,,59000,52000
萝卜,,,,,,,,,,,,,1063000,1107000,1149000,1150000,,1112000,1136000
普通白菜,,,,,,,,,,,,,,,,,,1408000,1401000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,,,,,,,,,,,,,535000,562000,580000,600000,,591000,611000
辣椒,,,,,,,,,,,,,239000,,,,,,
菜豆,,,,,,,,,,,,,882000,961000,939000,932000,,,
豇豆,,,,,,,,,,,,,171000,202000,169000,160000,,181000,206000
甜椒,,,,,,,,,,,,,,,,,,,
莴苣,,,,,,,,,,,,,,,,,,,
大白菜,,,,,,,,,,,,,1697000,1604000,1552000,1550000,,1610000,1650000
大蒜,,,,,,,,,,,,,88000,99000,99000,90000,,91000,97000
胡萝卜,,,,,,,,,,,,,227000,244000,255000,240000,,251000,283000
其他,,,,,,,,,,,,,1043000,,916000,900000,,,272000
蕃茄,,,,,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,,,,,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,,,,,,,,,,,,,,290000,,,,,
菠菜,,,,,,,,,,,,,293000,305000,293000,290000,,297000,313000
芹菜,,,,,,,,,,,,,240000,256000,260000,270000,,262000,278000
茄子,,,,,,,,,,,,,394000,,413000,400000,,428000,448000
蔬菜,4800000,4920000,5761000,6625000,7331247,8175000,8649000,9314000,9912000,11000000,11609690,12800740,13382000,13698000,14026600,14168920,14407060,14802580,15215400
冬瓜,,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,,,,,,,,,,,,,1394000,1384000,1479000,1455000,,,
白菜,,,,,750000,780000,985000,1121000,1193000,1312000,,,,,,,,,15215400
洋葱,,,,,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,,,,,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,,,,,,,,,,,,,,186000,185000,190000,,,
姜,,,,,,,,,,,,,,,,,,,
芥菜,,,,,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,,,,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,10912,,,,,
韭菜,,,,,,,,,,,,,,,,,,,
