品种,1991,1995,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,121000,,,,,
萝卜,,,,,,,,,,44000,58000,100000,,97000,92000
普通白菜,,,,,,,,,,,,,,11000,12000
竹笋,,,,,,,,,,,,,,,
黄瓜,,,,,,,,,,6000,5000,10000,,3000,6000
辣椒,,,,,,,,,,,,,,,
菜豆,,,,,,,,,2000,7000,1000,1000,,,
豇豆,,,,,,,,,,,1000,,,,
甜椒,,,,,,,,,,,,,,,
莴苣,,,,,,,,,,,,,,,
大白菜,,,,,,,,,,43000,57000,80000,,49000,66000
大蒜,,,,,,,,,,,3000,10000,,,
胡萝卜,,,,,,,,,,,7000,10000,,99000,25000
其他,,,,,,,,,40000,,,,,,23000
蕃茄,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,
南瓜,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,
马铃薯,,,,,,,,,,34000,,,,,
菠菜,,,,,,,,,,9000,13000,20000,,13000,6000
芹菜,,,,,,,,,,10000,16000,10000,,8000,9000
茄子,,,,,,,,,,,1000,,,4000,6000
蔬菜,120000,93111,141000,82000,78000,173000,202654,232714,258000,300000,429225,449309,450650,481408,551100
冬瓜,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,
甘蓝,,,,,,,,,,5000,14000,11000,,,
白菜,,,,14000,14000,,,,,,,,,,551100
洋葱,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,
花椰菜,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,
大葱,,,,,,,,,,6000,6000,10000,,7000,1000
姜,,,,,,,,,,,,,,,
芥菜,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,
芦笋,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,,
韭菜,,,,,,,,,,,,,,,
