品种,1991,1992,1993,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,8000,9000,24000,27000,,15000,18000
萝卜,120000,,,,,,,,,,,735000,803000,899000,930000,,954000,974000
普通白菜,220000,,,,,,,,,,,,,,,,692000,734000
竹笋,,,,,,,,,,,,,,,,,,
黄瓜,16500,,,,,,,,,,,198000,213000,219000,240000,,273000,302000
辣椒,80000,,,,,,,,,,,,324000,,,,,
菜豆,20000,,,,,,,,,,,384000,402000,447000,459000,,,
豇豆,38400,,,,,,,,,,,122000,127000,153000,160000,,201000,221000
甜椒,3300,,,,,,,,,,,,,,,,,
莴苣,36000,,,,,,,,,,,,,,,,,
大白菜,340000,,,,,,,,,,,2426000,2590000,2749000,2900000,,3156000,3400000
大蒜,20000,,,,,,,,,,,126000,136000,143000,150000,,179000,193000
胡萝卜,11200,,,,,,,,,,,147000,152000,191000,190000,,210000,216000
其他,40000,,,,,,,,,,,340000,,335000,230000,,,292000
蕃茄,30000,,,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,
南瓜,57500,,,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,
马铃薯,70000,,,,,,,,,,,,1422000,,,,,
菠菜,12350,,,,,,,,,,,192000,201000,205000,210000,,231000,247000
芹菜,12750,,,,,,,,,,,155000,154000,159000,160000,,199000,187000
茄子,36000,,,,,,,,,,,171000,,206000,210000,,242000,265000
蔬菜,3400000,4090000,4441000,3608000,4628000,6580000,10214000,5530000,5952000,6251559,6675265,7122000,7747000,8398695,8755570,8773398,9910613,10794500
冬瓜,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,
甘蓝,65000,,,,,,,,,,,516000,591000,627000,597000,,,
白菜,560000,,,945000,1145000,1626000,1343000,687000,867000,,,,,,,,,10794500
洋葱,360,,,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,
花椰菜,210000,,,,,,,,,,,,,,,,,
金针菜,,48000,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,
大葱,2000,,,,,,,,,,,71000,76000,90000,110000,,132000,129000
姜,,,,,,,,,,,,,,,,,,
芥菜,40000,,,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,
芦笋,10,,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,13083,,,,,
韭菜,2000,,,,,,,,,,,,,,,,,
