品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,,,,,,,
萝卜,111923,149123,196726,279814,,,,,,,,,523500,475500,469500,375000,,414000,370500
普通白菜,39803,78469,93844,123743,,,,,,,,,,,,,,111000,108000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,189704,308755,331200,514820,,,,,,,,,736500,745500,763500,660000,,763500,796500
辣椒,54813,83683,112799,145113,,,,,,,,,,,,,,,
菜豆,159382,194663,214124,265794,,,,,,,,,397500,373500,349500,306000,,,
豇豆,29951,44875,67011,71834,,,,,,,,,66000,58500,48000,45000,,51000,54000
甜椒,38072,58270,66661,85181,,,,,,,,,,,,,,,
莴苣,1760,6891,13436,7133,,,,,,,,,,,,,,,
大白菜,534589,792821,807338,984796,,,,,,,,,2236500,2046000,1975500,1695000,,1710000,1737000
大蒜,31691,77811,102379,154076,,,,,,,,,75000,75000,61500,60000,,49500,51000
胡萝卜,22717,53735,59480,98998,,,,,,,,,108000,109500,94500,90000,,99000,97500
其他,638942,230369,326431,924818,,,,,,,,,468000,814500,144000,150000,,,181500
蕃茄,96928,187921,251243,328189,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,15588,19468,21761,33550,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,290290,462603,467802,525559,,,,,,,,,,1296000,,,,,
菠菜,65583,92738,96948,138310,,,,,,,,,169500,160500,160500,120000,,112500,126000
芹菜,63277,114009,141855,226672,,,,,,,,,199500,187500,175500,150000,,154500,178500
茄子,119238,168419,235312,315538,,,,,,,,,475500,,450000,390000,,426000,457500
蔬菜,2878000,,,6074000,4959000,5133000,5313000,5298000,5550000,6198000,6193500,7215000,7027500,6361500,6205500,5373000,5640000,5830500,6040800
冬瓜,,1796,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,82614,121756,138957,158415,,,,,,,,,187500,157500,163500,115500,,,
白菜,574392,871290,901182,1108539,780000,805500,850500,939000,876000,570000,,,,,,,,,6740550
洋葱,15011,42125,40877,60896,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,12659,26309,33181,27533,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,111002,233703,269762,256394,,,,,,,,,349500,318000,331500,270000,,276000,291000
姜,,,,,,,,,,,,,,,,,,,
芥菜,13089,20995,25128,38734,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,5119,6500,9000,8100,,,,,,,,,,,,,,,
草莓,,6270,,,,,,,,,,,,178500,,,,,
韭菜,81014,136367,157658,299557,,,,,,,,,,,,,,,
