品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,,,,,,,
萝卜,271699,546034,579167,707501,,,,,,,,,1530000,1441000,1432000,1420000,,1533000,1416000
普通白菜,104974,241651,371075,263122,,,,,,,,,,,,,,498000,445000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,591538,1103841,1073585,1852658,,,,,,,,,2705000,2690000,2773000,3090000,,3836000,4249000
辣椒,92245,165491,253529,265395,,,,,,,,,,,,,,,
菜豆,206589,354863,371780,440199,,,,,,,,,860000,787000,733000,797000,,,
豇豆,37312,121289,125611,130045,,,,,,,,,154000,142000,100000,110000,,137000,152000
甜椒,66740,128307,162064,143845,,,,,,,,,,,,,,,
莴苣,2996,11439,24268,13618,,,,,,,,,,,,,,,
大白菜,2518052,337396,3277842,4189646,,,,,,,,,8136000,7991000,7253000,7690000,,8076000,8619000
大蒜,53754,118717,95401,126492,,,,,,,,,121000,131000,126000,160000,,138000,113000
胡萝卜,37816,142333,131020,209934,,,,,,,,,279000,243000,244000,280000,,324000,325000
其他,2080365,808772,595925,1493421,,,,,,,,,664000,,448000,650000,,,498000
蕃茄,255500,606200,729282,979796,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,31534,59174,80123,61905,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,520493,892621,785180,722685,,,,,,,,,,266000,,,,,
菠菜,121828,208249,188887,296354,,,,,,,,,384000,312000,320000,370000,,295000,355000
芹菜,148707,306378,430207,625677,,,,,,,,,528000,538000,465000,550000,,548000,674000
茄子,280603,402379,572984,831551,,,,,,,,,1371000,,1257000,1400000,,1795000,1955000
蔬菜,8243000,,,15668000,12680900,14386000,14922000,15881000,16507000,17570000,18612340,21249420,21482000,20346000,19547840,21297670,22320000,24382870,26044160
冬瓜,,2170,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,179534,297048,353194,456597,,,,,,,,,540000,480000,482000,429000,,,
白菜,2623026,579047,3648917,4452768,3135861,3234000,4090000,4607000,3378000,2540000,,,,,,,,,26044160
洋葱,29501,134572,115746,170580,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,25898,123708,77505,54965,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,234287,581961,710728,595009,,,,,,,,,942000,868000,868000,940000,,1119000,1130000
姜,,,,,,,,,,,,,,,,,,,
芥菜,27873,73691,57561,99389,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,3621,3650,7610,10300,,,,,,,,,,,,,,,
草莓,,4440,,,,,,,,,,,,280443,,,,,
韭菜,180879,306973,416883,947582,,,,,,,,,,,,,,,
