品种,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,127500,132000,138000,129000,,135000,157500
萝卜,,,,,,,,451500,454500,483000,525000,,559500,529500
普通白菜,,,,,,,,,,,,,283500,339000
竹笋,,,,,,,,,,,,,,
黄瓜,,,,,,,,154500,160500,157500,165000,,189000,205500
辣椒,,,,,,,,228000,333000,,,,,
菜豆,,,,,,,,376500,385500,388500,385500,,,
豇豆,,,,,,,,190500,193500,192000,195000,,175500,192000
甜椒,,,,,,,,,,,,,,
莴苣,,,,,,,,,,,,,,
大白菜,,,,,,,,414000,421500,409500,450000,,441000,447000
大蒜,,,,,,,,75000,82500,88500,90000,,88500,96000
胡萝卜,,,,,,,,103500,103500,115500,120000,,118500,117000
其他,,,,,,,,1158000,2601000,1242000,1275000,,,2854500
蕃茄,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,
南瓜,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,
马铃薯,,,,,,,,,4590000,,,,,
菠菜,,,,,,,,117000,115500,120000,120000,,123000,135000
芹菜,,,,,,,,78000,76500,87000,90000,,94500,102000
茄子,,,,,,,,193500,,207000,210000,,211500,220500
蔬菜,3645000,3775500,4234500,4389000,4762500,5311500,5395500,5805000,5844000,6000000,6261000,6493500,7224000,8283450
冬瓜,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,
甘蓝,,,,,,,,256500,256500,258000,283500,,,
白菜,402000,459000,480000,450000,510000,,,,,,,,,8622300
洋葱,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,
花椰菜,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,
大葱,,,,,,,,87000,90000,97500,90000,,97500,123000
姜,,,,,,,,,,,,,,
芥菜,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,
芦笋,,,,,,,,,,,,,,
草莓,,,,,,,,,9000,,,,,
韭菜,,,,,,,,,,,,,,
