品种,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,198000,199000,207000,191000,,229000,243000
萝卜,,,,,,,,748000,748000,774000,820000,,853000,831000
普通白菜,,,,,,,,,,,,,439000,507000
竹笋,,,,,,,,,,,,,,
黄瓜,,,,,,,,233000,239000,253000,250000,,285000,324000
辣椒,,,,,,,,221000,301000,,,,,
菜豆,,,,,,,,486000,484000,481000,462000,,,
豇豆,,,,,,,,262000,259000,256000,240000,,216000,217000
甜椒,,,,,,,,,,,,,,
莴苣,,,,,,,,,,,,,,
大白菜,,,,,,,,589000,606000,587000,630000,,625000,656000
大蒜,,,,,,,,75000,87000,94000,100000,,97000,85000
胡萝卜,,,,,,,,160000,167000,184000,200000,,175000,160000
其他,,,,,,,,1515000,,1760000,1720000,,,4122000
蕃茄,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,
南瓜,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,
马铃薯,,,,,,,,,928000,,,,,
菠菜,,,,,,,,148000,138000,143000,150000,,135000,151000
芹菜,,,,,,,,96000,94000,101000,100000,,121000,119000
茄子,,,,,,,,239000,,294000,270000,,242000,276000
蔬菜,6395000,6277000,7029000,7707000,8020000,7799590,8083098,8402000,8589000,8904721,8887579,8553338,9945191,11774490
冬瓜,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,
甘蓝,,,,,,,,441000,350000,451000,465000,,,
白菜,639000,675000,730000,790000,850000,,,,,,,,,11774490
洋葱,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,
花椰菜,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,
大葱,,,,,,,,107000,114000,122000,130000,,138000,142000
姜,,,,,,,,,,,,,,
芥菜,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,
芦笋,,,,,,,,,,,,,,
草莓,,,,,,,,,6193,,,,,
韭菜,,,,,,,,,,,,,,
