品种,1991,1992,1993,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,57000,,64500,69000,,88500,139500
萝卜,165000,154600,150036,,,,,,,,,336000,301500,349500,390000,,406500,475500
普通白菜,115000,126000,142332,,,,,,,,,,,,,,319500,277500
竹笋,,,,,,,,,,,,,,,,,,
黄瓜,105000,110042,120005,,,,,,,,,238500,277500,294000,300000,,360000,421500
辣椒,267000,520026,493266,,,,,,,,,,,,,,,
菜豆,120000,112642,105725,,,,,,,,,240000,256500,277500,315000,,,
豇豆,110000,102721,92130,,,,,,,,,79500,81000,84000,105000,,129000,138000
甜椒,180002,190000,185549,,,,,,,,,,,,,,,
莴苣,2973,3694,4734,,,,,,,,,,,,,,,
大白菜,194000,195000,172642,,,,,,,,,466500,405000,441000,465000,,513000,555000
大蒜,550000,514111,60244,,,,,,,,,189000,153000,127500,225000,,298500,289500
胡萝卜,85000,90100,103202,,,,,,,,,121500,118500,138000,150000,,169500,169500
其他,269040,37942,44000,,,,,,,,,223500,1395000,96000,105000,,,231000
蕃茄,285000,360700,371100,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,
南瓜,23200,2162,36000,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,
马铃薯,1850000,182400,1790000,,,,,,,,,,3438000,,,,,
菠菜,105000,112691,102421,,,,,,,,,204000,225000,220500,255000,,252000,295500
芹菜,74900,74602,66802,,,,,,,,,186000,162000,172500,225000,,253500,271500
茄子,102420,114202,126401,,,,,,,,,150000,,180000,195000,,211500,277500
蔬菜,2156000,2185000,2280000,2613000,2914500,2740500,2896500,3255000,3430500,4296000,3955500,4152000,4519500,4975500,5346000,5533500,5784000,6430050
冬瓜,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,
甘蓝,157000,154262,153166,,,,,,,,,180000,205500,208500,264000,,,
白菜,309000,321000,314974,489000,639000,684000,735000,750000,825000,,,,,,,,,7402500
洋葱,7500,6970,9770,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,
花椰菜,114173,60006,57000,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,
大葱,73000,71000,73900,,,,,,,,,186000,174000,213000,240000,,273000,327000
姜,,,,,,,,,,,,,,,,,,
芥菜,2640,2594,3155,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,
芦笋,1427,,1722,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,22500,,,,,
韭菜,38407,38260,40210,,,,,,,,,,,,,,,
