品种,1991,1992,1993,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,107000,,123000,129000,,157000,270000
萝卜,495000,469760,452200,,,,,,,,,657000,579000,642000,640000,,714000,936000
普通白菜,230000,254600,274600,,,,,,,,,,,,,,766000,676000
竹笋,,,,,,,,,,,,,,,,,,
黄瓜,260000,267112,540075,,,,,,,,,580000,707000,746000,790000,,917000,1009000
辣椒,55941,1028920,1122440,,,,,,,,,,,,,,,
菜豆,180000,176942,165252,,,,,,,,,283000,282000,322000,397000,,,
豇豆,160000,164236,155550,,,,,,,,,104000,102000,99000,130000,,183000,204000
甜椒,360000,362246,352676,,,,,,,,,,,,,,,
莴苣,3122,3014,4551,,,,,,,,,,,,,,,
大白菜,582000,615000,588000,,,,,,,,,942000,848000,854000,870000,,943000,1131000
大蒜,600000,579300,624600,,,,,,,,,186000,129000,128000,190000,,250000,357000
胡萝卜,127500,136006,142600,,,,,,,,,184000,163000,196000,220000,,274000,313000
其他,325380,70006,75005,,,,,,,,,396000,,210000,270000,,,443000
蕃茄,705000,860000,842000,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,
南瓜,69600,72642,75442,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,
马铃薯,2100000,200025,2000040,,,,,,,,,,582000,,,,,
菠菜,315000,176058,166440,,,,,,,,,207000,253000,243000,260000,,282000,350000
芹菜,149800,152942,150000,,,,,,,,,365000,376000,399000,540000,,603000,667000
茄子,204840,214444,228585,,,,,,,,,300000,,473000,500000,,535000,625000
蔬菜,3607000,3439000,3730000,3628624,4309000,3911000,4596000,5001000,5565000,6049232,6664397,7252000,7853000,8699348,9427575,9281102,10671210,12575890
冬瓜,,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,
甘蓝,471000,49111,496000,,,,,,,,,423000,500000,502000,617000,,,
白菜,812000,869600,862600,1120000,1387000,1255000,1400000,1400000,1560000,,,,,,,,,12575890
洋葱,10493,11222,13000,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,
花椰菜,171258,92003,87888,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,
大葱,108952,130076,124720,,,,,,,,,343000,273000,292000,360000,,424000,527000
姜,,,,,,,,,,,,,,,,,,
芥菜,5280,5392,6400,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,
芦笋,185.5,,1900,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,19619,,,,,
韭菜,127622,112312,132900,,,,,,,,,,,,,,,
