品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,,,,,,,
萝卜,6000,12883.6,13085,18146.7,,,,,,,,,30000,31500,30000,45000,,39000,34500
普通白菜,7000,23644.3,22634,24247,,,,,,,,,,,,,,13500,10500
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,800,1969.9,2195,3920.5,,,,,,,,,6000,7500,7500,15000,,7500,9000
辣椒,5500,4191.9,4232,5020.3,,,,,,,,,7500,7500,,,,,
菜豆,3000,258.5,262,1168,,,,,,,,,1500,3000,1500,6000,,,
豇豆,120,64.5,61,150,,,,,,,,,,1500,1500,,,1500,1500
甜椒,600,361,384,292,,,,,,,,,,,,,,,
莴苣,4800,2288.6,2888,3598.5,,,,,,,,,,,,,,,
大白菜,13000,20393.1,21132,21424.6,,,,,,,,,39000,45000,39000,45000,,55500,58500
大蒜,4000,4131,5130,7013.5,,,,,,,,,12000,12000,25500,30000,,57000,55500
胡萝卜,5000,15855.6,15649,12246.9,,,,,,,,,37500,48000,63000,60000,,73500,60000
其他,19000,13564.5,6125,29043.4,,,,,,,,,63000,585000,22500,15000,,,36000
蕃茄,3000,1741.1,1952,1471.9,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,1500,350,320,5453,,,,,,,,,,,,,,,
蕹菜,,,,4,,,,,,,,,,,,,,,
马铃薯,500000,654300,,,,,,,,,,,,1017000,,,,,
菠菜,4500,3255.5,3357,4489.1,,,,,,,,,15000,16500,19500,15000,,22500,28500
芹菜,4000,5104.7,4986,2653,,,,,,,,,7500,12000,10500,15000,,7500,12000
茄子,2000,908,876,1711,,,,,,,,,3000,,3000,,,3000,3000
蔬菜,49000,136000,139000,165000,186000,174000,189000,187500,207000,237000,267000,306000,361500,376500,387000,415500,451500,513000,528600
冬瓜,,46,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,10000,10200.2,17203,4567.8,,,,,,,,,13500,12000,9000,6000,,,
白菜,20000,44037.4,43766,45671.6,40500,39000,42000,39000,43500,30000,,,,,,,,,535650
洋葱,2600,795.3,785,677.3,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,3000,2719.8,2929,3251.3,,,,,,,,,,,,,,,
金针菜,,50,50,,,,,,,,,,,,,,,,
苋菜,,,,4,,,,,,,,,,,,,,,
大葱,4800,3782,3872,4505,,,,,,,,,27000,27000,22500,30000,,34500,36000
姜,,,,,,,,,,,,,,,,,,,
芥菜,1000,,,2,,,,,,,,,,,,,,,
丝瓜,,,,.3,,,,,,,,,,,,,,,
芦笋,30,53.1,61,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,,,,,,
韭菜,5000,6124.4,6346,3739.5,,,,,,,,,,,,,,,
