品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,,,,,,,
萝卜,13000,36630.9,37203,52032.2,,,,,,,,,59000,59000,65000,80000,,101000,82000
普通白菜,17500,55624.7,53294,53163,,,,,,,,,,,,,,26000,29000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,6400,8077.6,8977,6999,,,,,,,,,17000,20000,21000,30000,,17000,23000
辣椒,8250,9625.8,9718,10682.5,,,,,,,,,19000,19000,,,,,
菜豆,4200,409.7,415,1777.4,,,,,,,,,2000,4000,3000,9000,,,
豇豆,120,131,124,450,,,,,,,,,,1000,2000,10000,,1000,1000
甜椒,1200,378.3,441,1114.2,,,,,,,,,,,,,,,
莴苣,9600,4726.5,5993,9801.3,,,,,,,,,,,,,,,
大白菜,65000,61551.1,63993,82468.2,,,,,,,,,84000,94000,100000,110000,,149000,181000
大蒜,6000,6218.2,7722,17022.8,,,,,,,,,18000,16000,33000,50000,,108000,94000
胡萝卜,7500,29593.1,29363,32260.1,,,,,,,,,76000,101000,139000,150000,,169000,150000
其他,38000,37301.6,7413,87022.4,,,,,,,,,136000,,35000,50000,,,76000
蕃茄,21000,5461.7,6161,6589,,,,,,,,,,,,,,,
苦瓜,,,,,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,3150,212.5,194,15288.1,,,,,,,,,,,,,,,
蕹菜,,,,8,,,,,,,,,,,,,,,
马铃薯,550000,1031213,,,,,,,,,,,,290000,,,,,
菠菜,6750,4870.7,5022,6827.4,,,,,,,,,24000,29000,37000,30000,,47000,46000
芹菜,10000,13384.8,13072,9054.6,,,,,,,,,19000,23000,30000,40000,,21000,33000
茄子,5000,1787,1727,3692.7,,,,,,,,,6000,,8000,10000,,5000,6000
蔬菜,124000,349000,356000,438000,383100,393000,423000,463000,566000,600000,637203,678043,771000,784000,844618,904432,982637,1100799,1188635
冬瓜,,230,,,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,60000,42459.5,71645,11005.6,,,,,,,,,36000,30000,27000,16000,,,
白菜,82500,117175.8,117287,135631.2,80500,82000,85000,93000,113000,90000,,,,,,,,,1188635
洋葱,6760,2140.4,2120,2212.2,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,6000,3526.8,3801,4742.9,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,6,,,,,,,,,,,,,,,
大葱,9600,9544.8,9888,13871.7,,,,,,,,,47000,72000,50000,60000,,68000,61000
姜,,,,,,,,,,,,,,,,,,,
芥菜,2000,,,4,,,,,,,,,,,,,,,
丝瓜,,,,.8,,,,,,,,,,,,,,,
芦笋,36,26.2,30,,,,,,,,,,,,,,,,
草莓,,,,,,,,,,,,,,,,,,,
韭菜,10000,11830.6,12321,9505.6,,,,,,,,,,,,,,,
