品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,,,,,,,
萝卜,184568,157411.2,142654,137872,,,,,,,,,298500,225000,232500,225000,,217500,159000
普通白菜,1465,4056.4,8232,8424,,,,,,,,,,,,,,210000,117000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,192953,167619.6,191200,186293,,,,,,,,,375000,313500,351000,330000,,304500,229500
辣椒,35160,51670.6,85502,78149,,,,,,,,,,,,,,,
菜豆,185306,176055.2,157804,172723,,,,,,,,,537000,402000,363000,367500,,,
豇豆,1758,5287.8,4442,5134.7,,,,,,,,,13500,15000,12000,15000,,13500,9000
甜椒,158798,1262401,97424,106528,,,,,,,,,,,,,,,
莴苣,5000,1182.5,216,378,,,,,,,,,,,,,,,
大白菜,1051449,1025882,922561,907472,,,,,,,,,2004000,1302000,1669500,1695000,,1300500,855000
大蒜,39799,49760,56446,73474,,,,,,,,,142500,111000,115500,105000,,114000,61500
胡萝卜,34524,46624,51717,58627.5,,,,,,,,,136500,106500,136500,105000,,102000,78000
其他,,21805.5,49628,70328,,,,,,,,,321000,5872500,267000,330000,,,235500
蕃茄,214977,163567.1,170922,162846,,,,,,,,,,,,,,,
苦瓜,,9,,29,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,5567,50368.5,64381,70412,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,904040,802438.5,879310,823642,,,,,,,,,,5092500,,,,,
菠菜,90862,84574.4,59259,61217,,,,,,,,,108000,85500,90000,90000,,69000,48000
芹菜,6153,22618,27613,24413,,,,,,,,,112500,67500,81000,75000,,63000,49500
茄子,242044,211326.1,213376,192713,,,,,,,,,334500,,268500,255000,,259500,163500
蔬菜,3670000,3477000,3580000,3549000,4401000,4405500,4450500,5310000,5458500,6696000,6405000,6480000,5994000,4374000,5001000,4971000,4366500,4315500,2813700
冬瓜,,9,,16,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,140597,107705.7,103352,131572,,,,,,,,,273000,97500,228000,214500,,,
白菜,1052914,1029938,930793,915896,1030500,1036500,1195500,909000,1020000,1393500,,,,,,,,,3926100
洋葱,200,17,1282,862.3,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,1758,4771.1,7276,7869,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,134500,134506,201509,215622,,,,,,,,,388500,327000,307500,300000,,339000,174000
姜,,,,,,,,,,,,,,,,,,,
芥菜,3223,7191.5,5597,4723.4,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,,,,,,,,,,,,,,,,,,,
草莓,,4837,8620,6471,,,,,,,,,,6000,,,,,
韭菜,40805,48992.8,39360,41371,,,,,,,,,,,,,,,
