品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
莲藕,,,,,,,,,,,,,,,,,,,
萝卜,266951,395495,432629,278087.8,,,,,,,,,627000,527000,501000,490000,,493000,354000
普通白菜,1380,4503.2,9139,8402,,,,,,,,,,,,,,526000,325000
竹笋,,,,,,,,,,,,,,,,,,,
黄瓜,422613,404538.4,417829,375194,,,,,,,,,808000,693000,778000,700000,,715000,589000
辣椒,66698,57680.2,131694,97765.4,,,,,,,,,,,,,,,
菜豆,250717,234559,203672,233003,,,,,,,,,573000,558000,517000,518000,,,
豇豆,1607,4341.1,5053,5365.8,,,,,,,,,14000,23000,25000,20000,,26000,13000
甜椒,298529,234559,145816,152121.9,,,,,,,,,,,,,,,
莴苣,5100,1613,197.8,331.9,,,,,,,,,,,,,,,
大白菜,2499314,2122280,1999021,1942898,,,,,,,,,4969000,4462000,4962000,4890000,,4095000,2583000
大蒜,55158,7399.3,80158,108374,,,,,,,,,162000,134000,133000,110000,,145000,84000
胡萝卜,43351,80939.6,102114,83661.4,,,,,,,,,273000,229000,243000,190000,,226000,174000
其他,,57726.1,85630,102327,,,,,,,,,641000,,585000,640000,,,196000
蕃茄,362667,321732.6,437848,311524,,,,,,,,,,,,,,,
苦瓜,,8.4,,24.4,,,,,,,,,,,,,,,
茭白,,,,,,,,,,,,,,,,,,,
南瓜,15114,114204.7,138206,169904,,,,,,,,,,,,,,,
蕹菜,,,,,,,,,,,,,,,,,,,
马铃薯,1397252,1617317,1585109,1336771,,,,,,,,,,1030000,,,,,
菠菜,142422,151790.3,101986,90111.4,,,,,,,,,135000,111000,125000,140000,,98000,74000
芹菜,14256,32322.6,71088,49948.9,,,,,,,,,162000,123000,146000,160000,,113000,97000
茄子,411354,454177.8,383062,357289,,,,,,,,,492000,,505000,470000,,462000,338000
蔬菜,6877000,6885000,7056000,6498000,3381118,9167000,9861000,9985000,11872000,13255000,12501910,13247430,11983000,10680000,11535470,11355740,10187920,10579000,7011518
冬瓜,,8.4,,43.8,,,,,,,,,,,,,,,
藠头,,,,,,,,,,,,,,,,,,,
甘蓝,340813,22451,225269,261015,,,,,,,,,632000,246000,567000,545000,,,
白菜,2500694,2126783,2008160,1951300,1444852,3227000,4428000,2600000,2680000,4176000,,,,,,,,,7011518
洋葱,300,14.7,1257,1011.5,,,,,,,,,,,,,,,
芋,,,,,,,,,,,,,,,,,,,
花椰菜,3714,9800.7,14160,12417.3,,,,,,,,,,,,,,,
金针菜,,,,,,,,,,,,,,,,,,,
苋菜,,,,,,,,,,,,,,,,,,,
大葱,219435,187000,464345,440300,,,,,,,,,626000,647000,624000,610000,,730000,383000
姜,,,,,,,,,,,,,,,,,,,
芥菜,3688,12678.5,10272,5016,,,,,,,,,,,,,,,
丝瓜,,,,,,,,,,,,,,,,,,,
芦笋,,,,,,,,,,,,,,,,,,,
草莓,,4597,8982,7855.8,,,,,,,,,,10385,,,,,
韭菜,60033,75788.1,36325,66897,,,,,,,,,,,,,,,
