品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,9.1,10.2,12.6,13.9,13.4,12.4,11.3,11.4,12,12.1,40.7,18.2,24.8,28.5,22.3,24.3,25.1,26,24.65,23.2
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,,,,,,,,,,,.01,.1,,,,,,,.02,
桃,,,,,,,,,,,5.65,7.1,8.9,10,7.6,7.2,7.3,7.5,6.71,6.6
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,1.1,1.3,1.8,1.8,,1.6,1.3,1.2,1.1,1.1,1.39,1.8,1.5,1.7,1.8,2.1,2.7,3.8,4.18,4.4
梨,.8,.9,1.3,1.2,,1,.84,.8,.9,1.1,1.3,1.9,2.1,2.4,2,2,2,1.9,1.89,2
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,.07,.1,.1,.1,,,,.1,.07,
柑橘类,3.3,3.7,4.2,5,,4.7,4.8,5.4,4.5,4.8,4.4,6,9.5,11.4,8.7,10.6,10.9,10.7,9.91,9
