品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,86913	,163275	,163614	,160988	,217140	,268273	,239188	,201325	,251084	,225413	,1019675	,277178	,333091	,337404	,336262	,389342	,439265	,461150	,451590	,441619	
柿子,	,	,	,	,	,	,	,	,	,3094	,3269	,2186	,3910	,3874	,2083	,3272	,3427	,2955	,2751	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,	,	,	,	,	,	,	,	,	,21	,111	,135	,139	,158	,114	,158	,154	,162	,139	,	
桃,	,	,	,	,	,	,	,	,	,	,79480	,74063	,101543	,95277	,102818	,113167	,108921	,90290	,95098	,101418	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,20394	,24728	,29605	,31928	,33578	,28346	,29919	,26679	,22007	,23124	,23921	,26140	,27564	,26165	,26681	,33895	,45682	,62508	,77123	,90814	
梨,12807	,14056	,13907	,12847	,15932	,13504	,14651	,12895	,16298	,17369	,15752	,12752	,17931	,17710	,18794	,31639	,31855	,30961	,32733	,38437	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,	,	,	,	,	,	,	,	,	,284	,430	,260	,366	,597	,1038	,1689	,1428	,1820	,1721	,1214	
猕猴桃,	,	,	,	,	,	,	,	,	,	,639	,222	,396	,539	,178	,2060	,240	,441	,352	,411	
柑橘类,17168	,52928	,58886	,56456	,90382	,85361	,124342	,98651	,133860	,101765	,137484	,159403	,174439	,185354	,179908	,196558	,240447	,264889	,235776	,201573	
