品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,9.4,10.6,13,13.87,,13.8,14.9,14.8,15.2,18.5,17.8,16,15.1,18.6,22.4,24.6,36.2,50.9,58.49,63.2
水果,81.7,93,109,127.56,143.8,185.1,181.7,195.2,200,229.3,219.9,212.1,217.8,225.7,224.8,242,265.1,289,309.4,315.2
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,4.76,5.2,4.9,5.1,5.2,4.6,4.2,3.4,3.04,3.5
苹果,23.7,27.9,33,42.45,,47.2,47.7,46.2,45.1,50.3,42.28,37.3,33.7,33.1,31.5,30.3,31.1,29.9,30.48,30.9
桃,,,,,,,,,,,17.15,17,16.9,18,18.2,20.6,21.5,22.2,24.58,24.2
菠萝,,,,,,,,,,,4.62,3.8,3.5,3.7,3.4,3.7,3.8,4.1,4.26,3.8
葡萄,.7,.7,1,1.52,,1.6,1.2,1.6,2.6,3.8,6.3,4.9,5.3,5.3,5.6,6.3,7,7.9,9.6,12.3
梨,14.5,15.6,19,21.3,,29,36.1,35.3,38.9,45.6,40.9,38.7,39.7,38.6,39.7,41.7,43.4,46.9,48.31,51.6
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,.69,.5,.5,.5,.3,.3,.4,.4,.45,.6
柑橘类,10.5,10.7,13,12.94,,15.7,16.8,16.4,17.6,19.5,21.6,23.2,25.1,25.9,27.9,29.1,32.1,32.9,34.1,34.3
