品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,61072	,64380	,83973	,85634	,86673	,94035	,107677	,105119	,109278	,124075	,126017	,146199	,188986	,245224	,338112	,540046	,948455	,1155919	,1335821	
水果,367801	,428260	,477197	,501407	,557139	,590057	,660198	,680702	,738302	,769537	,984346	,856255	,965270	,1155194	,1366290	,1625584	,2023728	,2661799	,3038481	,3416404	
柿子,18106	,21520	,21677	,22451	,24052	,24751	,26380	,25406	,26973	,28424	,27368	,27299	,28608	,31020	,34067	,39378	,42345	,43723	,49902	,	
荔枝,1552	,1486	,	,	,	,	,	,	,	,	,3076	,4188	,4389	,5511	,6166	,8979	,11070	,8740	,9581	,11603	
苹果,31266	,40520	,52068	,53290	,62536	,65763	,80330	,79767	,85919	,101105	,103496	,104816	,113414	,141239	,159396	,201962	,234855	,267954	,269289	,257908	
桃,	,	,	,	,	,	,	,	,	,	,80737	,86388	,95803	,104939	,113385	,118974	,137245	,162502	,173082	,170732	
菠萝,27183	,30927	,25481	,27981	,28375	,30117	,32576	,40576	,42232	,32097	,33242	,27882	,26120	,23676	,22102	,19542	,24892	,28912	,36494	,36248	
葡萄,3773	,4419	,6606	,8093	,9129	,9008	,11697	,11881	,15599	,17746	,25414	,34539	,42606	,50862	,69734	,90117	,93800	,128449	,167090	,205992	
梨,110884	,124751	,133856	,120982	,132152	,136243	,149387	,145803	,152099	,158112	,157491	,161000	,176285	,189396	,197028	,216936	,240519	,286850	,278681	,332044	
龙眼,119	,850	,	,	,	,	,	,	,	,	,2307	,3893	,5069	,6560	,7554	,6387	,8380	,9790	,11116	,7483	
红枣,374	,457	,490	,455	,571	,573	,1082	,606	,1032	,1134	,2261	,1475	,1836	,3076	,4062	,5072	,6938	,7052	,8651	,8093	
猕猴桃,	,	,	,	,	,	,	,	,	,	,486	,957	,986	,1822	,1642	,816	,792	,813	,992	,1274	
柑橘类,24908	,28124	,41102	,46350	,53907	,62433	,77434	,81524	,89435	,91640	,102289	,118029	,133128	,166946	,211091	,243628	,280769	,327196	,383120	,416561	
